head_label,tail_label,head_name,tail_name,ans
AB12289,BA6034,純色翻領壓褶貝殼排扣荷葉七分袖/短袖上衣,純色高含棉坑條燈芯絨腰鬆緊五分短寬褲,fit
AB12289,CA2163,純色翻領壓褶貝殼排扣荷葉七分袖/短袖上衣,優雅蕾絲不易皺後腰鬆緊斜開岔短裙,fit
AB12289,BA5836,純色翻領壓褶貝殼排扣荷葉七分袖/短袖上衣,柔軟質感天絲棉丹寧落地大寬褲,fit
AB12289,BA5840,純色翻領壓褶貝殼排扣荷葉七分袖/短袖上衣,簡約知性立挺打褶造型西裝短褲．附質感皮帶,fit
AB12289,BA5861,純色翻領壓褶貝殼排扣荷葉七分袖/短袖上衣,休閒彈力英字印花窄管緊身長褲內搭褲,not_fit
AB12289,BA5934,純色翻領壓褶貝殼排扣荷葉七分袖/短袖上衣,質感純色收腹提臀窄管直筒長褲,fit
AB12289,BA5894,純色翻領壓褶貝殼排扣荷葉七分袖/短袖上衣,輕暖內刷毛．仿舊水洗刷破丹寧窄管褲,fit
AB12289,BA6007,純色翻領壓褶貝殼排扣荷葉七分袖/短袖上衣,彈力寬版收腹腰頭純色口袋直筒褲,fit
AB12289,QA1121,純色翻領壓褶貝殼排扣荷葉七分袖/短袖上衣,微笑羊毛磨毛休閒內搭褲,wrong
AB12289,CA2136,純色翻領壓褶貝殼排扣荷葉七分袖/短袖上衣,高含棉牛仔彈力修身高腰排釦長裙窄裙,fit
AB12289,KG0928,純色翻領壓褶貝殼排扣荷葉七分袖/短袖上衣,率性刷破牛仔窄管褲,fit
AB12289,BA5937,純色翻領壓褶貝殼排扣荷葉七分袖/短袖上衣,彈力高腰造型排釦腰頭緊身牛仔長褲,fit
AB12289,BA6001,純色翻領壓褶貝殼排扣荷葉七分袖/短袖上衣,保暖毛呢復古格紋內裡短褲裙,fit
AB12289,BA5940,純色翻領壓褶貝殼排扣荷葉七分袖/短袖上衣,激瘦牛仔高腰彈力收腹造型腰頭抽鬚刷破緊身長褲,fit
AB12289,BA5813,純色翻領壓褶貝殼排扣荷葉七分袖/短袖上衣,高含棉造型後口袋俐落牛仔直筒長褲,fit
AB12289,BA5916,純色翻領壓褶貝殼排扣荷葉七分袖/短袖上衣,質感純色高腰俐落西裝長寬褲(附造型腰帶),fit
AB12289,CA2251,純色翻領壓褶貝殼排扣荷葉七分袖/短袖上衣,優雅燈芯絨不規則設計鬆緊魚尾裙,fit
AB12289,KG0927,純色翻領壓褶貝殼排扣荷葉七分袖/短袖上衣,不收邊割破窄管牛仔褲,fit
AB12289,BA5822,純色翻領壓褶貝殼排扣荷葉七分袖/短袖上衣,俐落排釦綁帶打褶修身A字短褲,fit
AB12289,CA2230,純色翻領壓褶貝殼排扣荷葉七分袖/短袖上衣,配色格紋後鬆緊內裡A字長裙,fit
AB12426,CA2055,純色翻領薄紗拼接長袖襯衫/上衣,層次交錯蝴蝶結綁帶雪紡及膝裙,fit
AB12426,KL0989,純色翻領薄紗拼接長袖襯衫/上衣,簡約純色鬆緊縮口休閒褲,fit
AB12426,BA6000,純色翻領薄紗拼接長袖襯衫/上衣,修長腿型！造型釦帶簡約質感直筒落地褲,fit
AB12426,KG0926,純色翻領薄紗拼接長袖襯衫/上衣,抓破拉鍊腰鬆緊造型直筒牛仔褲,fit
AB12426,CA2204,純色翻領薄紗拼接長袖襯衫/上衣,臧芮軒。質感滿版印花燈芯絨A字波浪傘襬中長裙,fit
AB12426,CA2254,純色翻領薄紗拼接長袖襯衫/上衣,質感麂皮造型腰頭配色拼接A字長裙,fit
AB12426,CA2077,純色翻領薄紗拼接長袖襯衫/上衣,輕甜系撞色格紋小開衩A字短裙,fit
AB12426,CA2133,純色翻領薄紗拼接長袖襯衫/上衣,簡約後鬆緊千鳥細格抓皺造型A字裙,fit
