head_label,tail_label,head_name,tail_name,ans
AB13185,BA6246,菱形幾合印花V領特殊袖雪紡上衣,純色高含棉拼接排釦腰鬆緊寬褲裙,fit
AB13185,BA6277,菱形幾合印花V領特殊袖雪紡上衣,滿版碎花吊帶連身寬版長褲,not_fit
AB13185,BA6383,菱形幾合印花V領特殊袖雪紡上衣,韓系彈力造型腰頭雙釦設計窄管牛仔褲,fit
AB13185,CA2244,菱形幾合印花V領特殊袖雪紡上衣,高含棉修身高腰後鬆緊A字長裙,fit
AB13185,BA6171,菱形幾合印花V領特殊袖雪紡上衣,彈力修身九分哈倫褲,fit
AB13185,CA2330,菱形幾合印花V領特殊袖雪紡上衣,高含棉率性斜排釦前開衩斜紋長裙,fit
AB13185,CA2386,菱形幾合印花V領特殊袖雪紡上衣,氣質OL造型單邊百褶短裙,not_fit
AB13185,BA6259,菱形幾合印花V領特殊袖雪紡上衣,涼爽不易皺厚雪紡西裝直筒長褲,not_fit
AB13185,BA6144,菱形幾合印花V領特殊袖雪紡上衣,清涼關係學．涼感冰箱空氣紗印花腰鬆緊落地闊腿褲,not_fit
AB13185,BA6227,菱形幾合印花V領特殊袖雪紡上衣,彈力高腰割破刷色抽鬚牛仔窄管長褲,fit
AB13185,BA6142,菱形幾合印花V領特殊袖雪紡上衣,純色修身後鬆緊百褶七分寬褲裙,fit
AB13185,BA6238,菱形幾合印花V領特殊袖雪紡上衣,居家時尚。夏日零著感多色雪紡高腰傘襬短褲,fit
AB13185,BA6052,菱形幾合印花V領特殊袖雪紡上衣,質感跳色車線腰鬆緊仿牛仔褲,fit
AB13185,BA6330,菱形幾合印花V領特殊袖雪紡上衣,純色休閒腰鬆緊縮口九分哈倫褲,fit
AB13185,BA6260,菱形幾合印花V領特殊袖雪紡上衣,質感後腰鬆緊垂墜感微寬打摺長褲,not_fit
AB13185,BA6046,菱形幾合印花V領特殊袖雪紡上衣,清涼關係學．涼感超彈布純色腰鬆緊寬短褲,fit
AB13185,KS0808,菱形幾合印花V領特殊袖雪紡上衣,拼接網布滾邊修身束褲/瑜珈褲,not_fit
AB13185,CA2246,菱形幾合印花V領特殊袖雪紡上衣,高含棉甜美拼接條紋A字波浪圓裙(褲型內裡),not_fit
AB13185,BA6250,菱形幾合印花V領特殊袖雪紡上衣,寬腰頭排釦打褶口袋直筒/西裝褲,fit
AB13185,BA6388,菱形幾合印花V領特殊袖雪紡上衣,口袋荷葉彈性腰點點不易皺開衩褲,not_fit
AB14494,BA6218,真兩件雙層荷葉領雪紡襯衫/上衣,彈力雙釦水洗窄管抽鬚纖腿牛仔褲,fit
AB14494,BA6306,真兩件雙層荷葉領雪紡襯衫/上衣,清新點點不易皺雪紡短袖連身短褲,wrong
AB14494,DA8807,真兩件雙層荷葉領雪紡襯衫/上衣,假兩件鬆緊腰綁帶連身吊帶短褲,wrong
AB14494,CA2259,真兩件雙層荷葉領雪紡襯衫/上衣,滿版印花腰鬆緊內裡傘擺長裙,fit
AB14494,BA6054,真兩件雙層荷葉領雪紡襯衫/上衣,質感刷色高腰排釦丹寧破損窄管褲,fit
AB14494,CA2374,真兩件雙層荷葉領雪紡襯衫/上衣,高含棉高腰收腹排釦褲型內裡彈力牛仔短裙,fit
AB14494,BA6386,真兩件雙層荷葉領雪紡襯衫/上衣,夏日滿版樹葉印花高腰寬版七分褲,fit
AB14494,BA6191,真兩件雙層荷葉領雪紡襯衫/上衣,清涼關係學．涼感超彈布多色腰鬆緊纖瘦七分褲,fit
AB14494,CA2391,真兩件雙層荷葉領雪紡襯衫/上衣,度假遊旅沁涼異國圖騰鬆緊腰雪紡裙,fit
AB14494,CA2392,真兩件雙層荷葉領雪紡襯衫/上衣,透膚紋理腰鬆緊紗裙長裙,fit
AB14494,CA2304,真兩件雙層荷葉領雪紡襯衫/上衣,雪紡滿版碎花印花腰鬆緊蛋糕裙,fit
AB14494,BA6139,真兩件雙層荷葉領雪紡襯衫/上衣,視覺-5KG。纖腰長腿刷色牛仔喇叭八分褲,fit
AB14494,BA6250,真兩件雙層荷葉領雪紡襯衫/上衣,寬腰頭排釦打褶口袋直筒/西裝褲,fit
AB14494,BA6176,真兩件雙層荷葉領雪紡襯衫/上衣,滿版印花收腰小可愛五分袖連身短褲,wrong
AB14494,CA2393,真兩件雙層荷葉領雪紡襯衫/上衣,純棉造型口袋開衩牛仔A字中長裙,fit
AB14494,BA6197,真兩件雙層荷葉領雪紡襯衫/上衣,簡約舒適不易皺雪紡腰後鬆緊A字短褲,fit
