,head_label,tail_label,head_name,tail_name,ans
0,AB12289,BA6034,純色翻領壓褶貝殼排扣荷葉七分袖/短袖上衣,純色高含棉坑條燈芯絨腰鬆緊五分短寬褲,fit
1,AB12289,CA2163,純色翻領壓褶貝殼排扣荷葉七分袖/短袖上衣,優雅蕾絲不易皺後腰鬆緊斜開岔短裙,fit
2,AB12289,BA5836,純色翻領壓褶貝殼排扣荷葉七分袖/短袖上衣,柔軟質感天絲棉丹寧落地大寬褲,fit
3,AB12289,BA5840,純色翻領壓褶貝殼排扣荷葉七分袖/短袖上衣,簡約知性立挺打褶造型西裝短褲．附質感皮帶,fit
4,AB12289,BA5861,純色翻領壓褶貝殼排扣荷葉七分袖/短袖上衣,休閒彈力英字印花窄管緊身長褲內搭褲,not_fit
5,AB12289,BA5934,純色翻領壓褶貝殼排扣荷葉七分袖/短袖上衣,質感純色收腹提臀窄管直筒長褲,fit
6,AB12289,BA5894,純色翻領壓褶貝殼排扣荷葉七分袖/短袖上衣,輕暖內刷毛．仿舊水洗刷破丹寧窄管褲,fit
7,AB12289,BA6007,純色翻領壓褶貝殼排扣荷葉七分袖/短袖上衣,彈力寬版收腹腰頭純色口袋直筒褲,fit
8,AB12289,QA1121,純色翻領壓褶貝殼排扣荷葉七分袖/短袖上衣,微笑羊毛磨毛休閒內搭褲,wrong
9,AB12289,CA2136,純色翻領壓褶貝殼排扣荷葉七分袖/短袖上衣,高含棉牛仔彈力修身高腰排釦長裙窄裙,fit
10,AB12289,KG0928,純色翻領壓褶貝殼排扣荷葉七分袖/短袖上衣,率性刷破牛仔窄管褲,fit
11,AB12289,BA5937,純色翻領壓褶貝殼排扣荷葉七分袖/短袖上衣,彈力高腰造型排釦腰頭緊身牛仔長褲,fit
12,AB12289,BA6001,純色翻領壓褶貝殼排扣荷葉七分袖/短袖上衣,保暖毛呢復古格紋內裡短褲裙,fit
13,AB12289,BA5940,純色翻領壓褶貝殼排扣荷葉七分袖/短袖上衣,激瘦牛仔高腰彈力收腹造型腰頭抽鬚刷破緊身長褲,fit
14,AB12289,BA5813,純色翻領壓褶貝殼排扣荷葉七分袖/短袖上衣,高含棉造型後口袋俐落牛仔直筒長褲,fit
15,AB12289,BA5916,純色翻領壓褶貝殼排扣荷葉七分袖/短袖上衣,質感純色高腰俐落西裝長寬褲(附造型腰帶),fit
16,AB12289,CA2251,純色翻領壓褶貝殼排扣荷葉七分袖/短袖上衣,優雅燈芯絨不規則設計鬆緊魚尾裙,fit
17,AB12289,KG0927,純色翻領壓褶貝殼排扣荷葉七分袖/短袖上衣,不收邊割破窄管牛仔褲,fit
18,AB12289,BA5822,純色翻領壓褶貝殼排扣荷葉七分袖/短袖上衣,俐落排釦綁帶打褶修身A字短褲,fit
19,AB12289,CA2230,純色翻領壓褶貝殼排扣荷葉七分袖/短袖上衣,配色格紋後鬆緊內裡A字長裙,fit
20,AB12426,CA2055,純色翻領薄紗拼接長袖襯衫/上衣,層次交錯蝴蝶結綁帶雪紡及膝裙,fit
21,AB12426,KL0989,純色翻領薄紗拼接長袖襯衫/上衣,簡約純色鬆緊縮口休閒褲,fit
22,AB12426,BA6000,純色翻領薄紗拼接長袖襯衫/上衣,修長腿型！造型釦帶簡約質感直筒落地褲,fit
23,AB12426,KG0926,純色翻領薄紗拼接長袖襯衫/上衣,抓破拉鍊腰鬆緊造型直筒牛仔褲,fit
24,AB12426,CA2204,純色翻領薄紗拼接長袖襯衫/上衣,臧芮軒。質感滿版印花燈芯絨A字波浪傘襬中長裙,fit
25,AB12426,CA2254,純色翻領薄紗拼接長袖襯衫/上衣,質感麂皮造型腰頭配色拼接A字長裙,fit
26,AB12426,CA2077,純色翻領薄紗拼接長袖襯衫/上衣,輕甜系撞色格紋小開衩A字短裙,fit
27,AB12426,CA2133,純色翻領薄紗拼接長袖襯衫/上衣,簡約後鬆緊千鳥細格抓皺造型A字裙,fit
28,AB12426,CA2194,純色翻領薄紗拼接長袖襯衫/上衣,質感造型剪接琥珀釦飾A字裙,fit
29,AB12426,BA6044,純色翻領薄紗拼接長袖襯衫/上衣,內刷毛造型腰頭口袋彈力窄管褲,fit
30,AB12426,CA2218,純色翻領薄紗拼接長袖襯衫/上衣,保暖織紋毛料魚尾短裙,fit
31,AB12426,BA6065,純色翻領薄紗拼接長袖襯衫/上衣,保暖質感毛呢修身反摺直筒西裝長褲,fit
32,AB12426,KG1018,純色翻領薄紗拼接長袖襯衫/上衣,放學趣側邊印圖運動長褲,not_fit
33,AB12426,KS0756,純色翻領薄紗拼接長袖襯衫/上衣,台灣製造．造型褲管拉鍊腰鬆緊抽繩運動長褲,not_fit
34,AB12426,KL1008,純色翻領薄紗拼接長袖襯衫/上衣,高含棉側邊織條彈性腰頭縮口休閒褲/運動褲,not_fit
35,AB12426,CA2228,純色翻領薄紗拼接長袖襯衫/上衣,暖感立體織紋後開衩鬆緊A字中長裙,fit
36,AB12426,CA2072,純色翻領薄紗拼接長袖襯衫/上衣,雪紡簡約質感開衩後鬆緊長裙,fit
37,AB12426,BA5888,純色翻領薄紗拼接長袖襯衫/上衣,高含棉高腰收腹雙排釦造型拼接直筒長褲,fit
38,AB12426,BA5962,純色翻領薄紗拼接長袖襯衫/上衣,高含棉牛仔修身開衩吊帶落地長寬褲,fit
39,AB12426,CA2130,純色翻領薄紗拼接長袖襯衫/上衣,質感綁帶滿版點點雪紡傘襬A字長裙,fit
40,AB13109,BA6031,雪紡翻領假兩件挖肩條紋上衣,知性俐落條紋造型綴飾寬褲裙,not_fit
41,AB13109,MA0370,雪紡翻領假兩件挖肩條紋上衣,魔術360~造型車線高含棉彈力孕婦內搭褲/孕婦褲,wrong
42,AB13109,KS0728,雪紡翻領假兩件挖肩條紋上衣,台灣製造．高彈力造型車縫拼接織帶運動貼腿褲,not_fit
43,AB13109,CA2065,雪紡翻領假兩件挖肩條紋上衣,臧芮軒。滿版復古碎花撞色織帶蛋糕裙,not_fit
44,AB13109,FA2323,雪紡翻領假兩件挖肩條紋上衣,純色柔軟拼織坑條細針織優雅傘襬A字裙,fit
45,AB13109,KL0934,雪紡翻領假兩件挖肩條紋上衣,率性水洗刷色抓破牛仔長褲,fit
