,No,StyleBookID,main_url,mainID,top1,top2,bottom,accessory1,accessory2
0,1,2022072033745392,https://image.obdesign.com.tw/catalog/products/AB17280/AB17280@1.jpg,AB17280,AB17280,,BA4900,ZC2675,
1,2,2022072044824423,https://image.obdesign.com.tw/catalog/products/BA6797/BA6797@1.jpg,BA6797,,,BA6797,,
2,3,2022072087258028,https://image.obdesign.com.tw/catalog/products/DA9378/DA9378@1.jpg,DA9378,EA3351,,DA9378,ZC2674,
3,4,2022072296477593,https://image.obdesign.com.tw/catalog/products/AB17462/AB17462@1.jpg,AB17462,AB17462,,BA6795,,
4,5,2022072513633213,https://image.obdesign.com.tw/catalog/products/AB17528/AB17528@1.jpg,AB17528,AB17528,,BA2258,,
5,6,2022072518865159,https://image.obdesign.com.tw/catalog/products/DA9391/DA9391@1.jpg,DA9391,,,DA9391,,
6,7,2022072521726435,https://image.obdesign.com.tw/catalog/products/DA9390/DA9390@1.jpg,DA9390,,,DA9390,,
7,8,2022072525766492,https://image.obdesign.com.tw/catalog/products/DA9347/DA9347@1.jpg,DA9347,AB17288,,DA9347,,
8,9,2022072541081016,https://image.obdesign.com.tw/catalog/products/AB17480/AB17480@1.jpg,AB17480,AB17480,,BA6428,,
9,10,2022072550308393,https://image.obdesign.com.tw/catalog/products/DA9395/DA9395@1.jpg,DA9395,,,DA9395,,
10,11,2022072567926572,https://image.obdesign.com.tw/catalog/products/BA6823/BA6823@1.jpg,BA6823,AB17528,,BA6823,,
11,12,2022072595534783,https://image.obdesign.com.tw/catalog/products/DA9385/DA9385@1.jpg,DA9385,EA2961,,DA9385,,
12,13,2022072596945078,https://image.obdesign.com.tw/catalog/products/DA9403/DA9403@1.jpg,DA9403,,,DA9403,,
13,14,2022072713647135,https://image.obdesign.com.tw/catalog/products/AB17464/AB17464@1.jpg,AB17464,AB17464,EA3304,BA6652,,
14,15,2022072736668502,https://image.obdesign.com.tw/catalog/products/AB17330/AB17330@1.jpg,AB17330,AB17330,,BA6786,,
15,16,2022072811982345,https://image.obdesign.com.tw/catalog/products/KS1044/KS1044@1.jpg,KS1044,AB17152,,KS1044,,
16,17,2022072825680316,https://image.obdesign.com.tw/catalog/products/KS1050/KS1050@1.jpg,KS1050,AB16409,,KS1078,,
17,18,2022072831884924,https://image.obdesign.com.tw/catalog/products/KS1043/KS1043@1.jpg,KS1043,,,KS1046,,
18,19,2022072849174712,https://image.obdesign.com.tw/catalog/products/KS1048/KS1048@1.jpg,KS1048,,,KS1047,,
19,20,2022072859835972,https://image.obdesign.com.tw/catalog/products/KS1045/KS1045@1.jpg,KS1045,,,KS1047,,
20,21,2022072893082621,https://image.obdesign.com.tw/catalog/products/KS1049/KS1049@1.jpg,KS1049,,,KS1047,,
21,22,2022080161813392,https://image.obdesign.com.tw/catalog/products/AB17003/AB17003@1.jpg,AB17003,AB17003,EA3296,BA6428,,
22,23,2022080185126318,https://image.obdesign.com.tw/catalog/products/AB17507/AB17507@1.jpg,AB17507,AB17507,,BA3210,,
23,24,2022080197839264,https://image.obdesign.com.tw/catalog/products/AB17524/AB17524@1.jpg,AB17524,AB17524,EA3347,BA6151,,
24,25,2022080402062631,https://image.obdesign.com.tw/catalog/products/KL1429/KL1429@1.jpg,KL1429,,,KL1433,,
25,26,2022080404420613,https://image.obdesign.com.tw/catalog/products/KG1413/KG1413@1.jpg,KG1413,,,KG1413,,
26,27,2022080406233106,https://image.obdesign.com.tw/catalog/products/KG1455/KG1455@1.jpg,KG1455,,,BA6456,,
27,28,2022080408740608,https://image.obdesign.com.tw/catalog/products/QA1536/QA1536@1.jpg,QA1536,QA1536,,,,
28,29,2022080411441602,https://image.obdesign.com.tw/catalog/products/QA1575/QA1575@1.jpg,QA1575,QA1575,QA1227,,,
29,30,2022080411577096,https://image.obdesign.com.tw/catalog/products/QA1559/QA1559@1.jpg,QA1559,QA1559,QA1554,,,
30,31,2022080424310966,https://image.obdesign.com.tw/catalog/products/QA1523/QA1523@1.jpg,QA1523,QA1523,,,,
31,32,2022080436220080,https://image.obdesign.com.tw/catalog/products/KL1459/KL1459@1.jpg,KL1459,,,KL1399,,
32,33,2022080441781012,https://image.obdesign.com.tw/catalog/products/QA1524/QA1524@1.jpg,QA1524,QA1524,,,,
33,34,2022080442383397,https://image.obdesign.com.tw/catalog/products/QA1546/QA1546@1.jpg,QA1546,QA1546,,,,
34,35,2022080445456335,https://image.obdesign.com.tw/catalog/products/QA1528/QA1528@1.jpg,QA1528,QA1528,,,,
35,36,2022080451022822,https://image.obdesign.com.tw/catalog/products/QA1555/QA1555@1.jpg,QA1555,QA1555,,,,
36,37,2022080461979378,https://image.obdesign.com.tw/catalog/products/KL1452/KL1452@1.jpg,KL1452,,,KL1099,,
37,38,2022080468560741,https://image.obdesign.com.tw/catalog/products/KL1460/KL1460@1.jpg,KL1460,,,KL1099,,
38,39,2022080480223530,https://image.obdesign.com.tw/catalog/products/KL1386/KL1386@1.jpg,KL1386,,,KL1386,,
39,40,2022080488297975,https://image.obdesign.com.tw/catalog/products/KG1448/KG1448@1.jpg,KG1448,,,KG1448,,
40,41,2022080491745953,https://image.obdesign.com.tw/catalog/products/KG1449/KG1449@1.jpg,KG1449,,,KG1349,,
41,42,2022080805073368,https://image.obdesign.com.tw/catalog/products/DA9402/DA9402@1.jpg,DA9402,FA2660,,DA9402,ZC2719,
42,43,2022080812728830,https://image.obdesign.com.tw/catalog/products/AB17575/AB17575@1.jpg,AB17575,AB17575,,CA1450,,
43,44,2022080815002875,https://image.obdesign.com.tw/catalog/products/AB17537/AB17537@1.jpg,AB17537,AB17537,,BA6007,,
44,45,2022080815059068,https://image.obdesign.com.tw/catalog/products/CA2639/CA2639@1.jpg,CA2639,AB17501,,CA2639,,
45,46,2022080816431947,https://image.obdesign.com.tw/catalog/products/AB17580/AB17580@1.jpg,AB17580,AB17580,,BA2923,,
46,47,2022080817994113,https://image.obdesign.com.tw/catalog/products/AB17533/AB17533@1.jpg,AB17533,AB17533,,,,
47,48,2022080822102523,https://image.obdesign.com.tw/catalog/products/DA9408/DA9408@1.jpg,DA9408,,,BA6425,ZC2715,ZC2736
48,49,2022080824502313,https://image.obdesign.com.tw/catalog/products/AB17547/AB17547@1.jpg,AB17547,AB17547,EA3324,BA6428,,
49,50,2022080832065240,https://image.obdesign.com.tw/catalog/products/AB17551/AB17551@1.jpg,AB17551,AB17551,,BA6428,ZC2715,
50,51,2022080833977568,https://image.obdesign.com.tw/catalog/products/AB17607/AB17607@1.jpg,AB17607,AB17607,,,,
51,52,2022080843282908,https://image.obdesign.com.tw/catalog/products/DA9405/DA9405@1.jpg,DA9405,,,DA9405,,
52,53,2022080843821763,https://image.obdesign.com.tw/catalog/products/AB17559/AB17559@1.jpg,AB17559,AB17559,,BA6660,YA409,
53,54,2022080858933767,https://image.obdesign.com.tw/catalog/products/DA9418/DA9418@1.jpg,DA9418,,,DA9418,,
54,55,2022080861652932,https://image.obdesign.com.tw/catalog/products/AB17517/AB17517@1.jpg,AB17517,AB17517,,BA6425,ZC2736,
55,56,2022080861735718,https://image.obdesign.com.tw/catalog/products/DA9408/DA9408@1.jpg,DA9408,,,DA9408,YA409,ZC2714
56,57,2022080869198282,https://image.obdesign.com.tw/catalog/products/BA6839/BA6839@1.jpg,BA6839,AB17517,EA3369,BA6839,YA407,
57,58,2022080871307840,https://image.obdesign.com.tw/catalog/products/BA6837/BA6837@1.jpg,BA6837,AB17559,,BA6837,ZC2736,
58,59,2022080878824791,https://image.obdesign.com.tw/catalog/products/AB17526/AB17526@1.jpg,AB17526,AB17526,,CA2639,ZC2712,
59,60,2022080888065996,https://image.obdesign.com.tw/catalog/products/AB17555/AB17555@1.jpg,AB17555,AB17555,,BA6428,,
60,61,2022080917874695,https://image.obdesign.com.tw/catalog/products/AB17519/AB17519@1.jpg,AB17519,AB17519,,CA2634,,
61,62,2022080918223657,https://image.obdesign.com.tw/catalog/products/BA6826/BA6826@1.jpg,BA6826,AB17495,AB17364,BA6826,,
62,63,2022080919157439,https://image.obdesign.com.tw/catalog/products/AB17479/AB17479@1.jpg,AB17479,AB17479,,BA3131,,
63,64,2022080933189219,https://image.obdesign.com.tw/catalog/products/AB17495/AB17495@1.jpg,AB17495,AB17495,,BA6746,,
64,65,2022080934510717,https://image.obdesign.com.tw/catalog/products/DA9384/DA9384@1.jpg,DA9384,AB17515,,DA9384,,
65,66,2022080940728558,https://image.obdesign.com.tw/catalog/products/BA6834/BA6834@1.jpg,BA6834,EA3185,,BA6834,,
66,67,2022080941562583,https://image.obdesign.com.tw/catalog/products/BA6836/BA6836@1.jpg,BA6836,AB17536,,BA6836,,
67,68,2022080955361522,https://image.obdesign.com.tw/catalog/products/BA3131/BA3131@1.jpg,BA3131,AB17635,,BA3131,,
68,69,2022080969578372,https://image.obdesign.com.tw/catalog/products/AB17505/AB17505@1.jpg,AB17505,AB17505,,BA6622,,
69,70,2022080970601077,https://image.obdesign.com.tw/catalog/products/AB17635/AB17635@1.jpg,AB17635,AB17635,,BA6428,,
70,71,2022080974140312,https://image.obdesign.com.tw/catalog/products/AB17536/AB17536@1.jpg,AB17536,AB17536,,BA6826,,
