,index,main_url,mainID,style1,style2
0,0,https://image.obdesign.com.tw/catalog/products/AB18002/AB18002@1.jpg,AB18002,清新甜美,
1,1,https://image.obdesign.com.tw/catalog/products/AB18064/AB18064@1.jpg,AB18064,清新甜美,溫柔浪漫
2,2,https://image.obdesign.com.tw/catalog/products/AB17759/AB17759@1.jpg,AB17759,率性休閒,簡約質感
3,3,https://image.obdesign.com.tw/catalog/products/AB18078/AB18078@1.jpg,AB18078,簡約質感,大氣優雅
4,4,https://image.obdesign.com.tw/catalog/products/AB18110/AB18110@1.jpg,AB18110,率性休閒,態度個性
5,5,https://image.obdesign.com.tw/catalog/products/AB17570/AB17570@1.jpg,AB17570,性感迷人,態度個性
6,6,https://image.obdesign.com.tw/catalog/products/DA9527/DA9527@1.jpg,DA9527,清新甜美,溫柔浪漫
7,7,https://image.obdesign.com.tw/catalog/products/BA6909/BA6909@1.jpg,BA6909,率性休閒,性感迷人
8,8,https://image.obdesign.com.tw/catalog/products/AB16497/AB16497@1.jpg,AB16497,溫柔浪漫,大氣優雅
9,9,https://image.obdesign.com.tw/catalog/products/KL1466/KL1466@1.jpg,KL1466,率性休閒,態度個性
10,10,https://image.obdesign.com.tw/catalog/products/DA9510/DA9510@1.jpg,DA9510,清新甜美,大氣優雅
11,11,https://image.obdesign.com.tw/catalog/products/AB17953/AB17953@1.jpg,AB17953,清新甜美,溫柔浪漫
12,12,https://image.obdesign.com.tw/catalog/products/AB17583/AB17583@1.jpg,AB17583,率性休閒,態度個性
13,13,https://image.obdesign.com.tw/catalog/products/KS1089/KS1089@1.jpg,KS1089,率性休閒,簡約質感
14,14,https://image.obdesign.com.tw/catalog/products/BA6977/BA6977@1.jpg,BA6977,簡約質感,態度個性
15,15,https://image.obdesign.com.tw/catalog/products/FA2675/FA2675@1.jpg,FA2675,清新甜美,溫柔浪漫
16,16,https://image.obdesign.com.tw/catalog/products/AB18094/AB18094@1.jpg,AB18094,簡約質感,大氣優雅
17,17,https://image.obdesign.com.tw/catalog/products/AB18166/AB18166@1.jpg,AB18166,清新甜美,溫柔浪漫
18,18,https://image.obdesign.com.tw/catalog/products/AB17641/AB17641@1.jpg,AB17641,簡約質感,大氣優雅
19,19,https://image.obdesign.com.tw/catalog/products/AB18075/AB18075@1.jpg,AB18075,慵懶度假,性感迷人
20,20,https://image.obdesign.com.tw/catalog/products/AB18227/AB18227@1.jpg,AB18227,,
21,21,https://image.obdesign.com.tw/catalog/products/AB7979/AB7979@1.jpg,AB7979,簡約質感,溫柔浪漫
22,22,https://image.obdesign.com.tw/catalog/products/KL1529/KL1529@1.jpg,KL1529,,
23,23,https://image.obdesign.com.tw/catalog/products/AB17586/AB17586@1.jpg,AB17586,都會輕熟,溫柔浪漫
24,24,https://image.obdesign.com.tw/catalog/products/AB17762/AB17762@1.jpg,AB17762,清新甜美,溫柔浪漫
25,25,https://image.obdesign.com.tw/catalog/products/EA3270/EA3270@1.jpg,EA3270,率性休閒,簡約質感
26,26,https://image.obdesign.com.tw/catalog/products/AB18081/AB18081@1.jpg,AB18081,清新甜美,溫柔浪漫
27,27,https://image.obdesign.com.tw/catalog/products/KL1386/KL1386@1.jpg,KL1386,率性休閒,其他
28,28,https://image.obdesign.com.tw/catalog/products/BA6836/BA6836@1.jpg,BA6836,率性休閒,簡約質感
29,29,https://image.obdesign.com.tw/catalog/products/AB17975/AB17975@1.jpg,AB17975,簡約質感,大氣優雅
30,30,https://image.obdesign.com.tw/catalog/products/KS1050/KS1050@1.jpg,KS1050,率性休閒,性感迷人
31,31,https://image.obdesign.com.tw/catalog/products/EA3473/EA3473@1.jpg,EA3473,清新甜美,溫柔浪漫
32,32,https://image.obdesign.com.tw/catalog/products/CA1210/CA1210@1.jpg,CA1210,,
33,33,https://image.obdesign.com.tw/catalog/products/AB17610/AB17610@1.jpg,AB17610,率性休閒,態度個性
34,34,https://image.obdesign.com.tw/catalog/products/FA2616/FA2616@1.jpg,FA2616,清新甜美,溫柔浪漫
35,35,https://image.obdesign.com.tw/catalog/products/AB17731/AB17731@1.jpg,AB17731,率性休閒,態度個性
36,36,https://image.obdesign.com.tw/catalog/products/EA3387/EA3387@1.jpg,EA3387,簡約質感,都會輕熟
37,37,https://image.obdesign.com.tw/catalog/products/AB17479/AB17479@1.jpg,AB17479,率性休閒,簡約質感
38,38,https://image.obdesign.com.tw/catalog/products/DA9614/DA9614@1.jpg,DA9614,簡約質感,
39,39,https://image.obdesign.com.tw/catalog/products/BA6991/BA6991@1.jpg,BA6991,率性休閒,簡約質感
40,40,https://image.obdesign.com.tw/catalog/products/KL1462/KL1462@1.jpg,KL1462,率性休閒,態度個性
41,41,https://image.obdesign.com.tw/catalog/products/BA6956/BA6956@1.jpg,BA6956,簡約質感,都會輕熟
42,42,https://image.obdesign.com.tw/catalog/products/BA6970/BA6970@1.jpg,BA6970,率性休閒,清新甜美
43,43,https://image.obdesign.com.tw/catalog/products/KG1466/KG1466@1.jpg,KG1466,率性休閒,態度個性
44,44,https://image.obdesign.com.tw/catalog/products/EA3382/EA3382@1.jpg,EA3382,率性休閒,清新甜美
45,45,https://image.obdesign.com.tw/catalog/products/CA2708/CA2708@1.jpg,CA2708,率性休閒,簡約質感
46,46,https://image.obdesign.com.tw/catalog/products/BA6992/BA6992@1.jpg,BA6992,簡約質感,
47,47,https://image.obdesign.com.tw/catalog/products/FA2706/FA2706@1.jpg,FA2706,簡約質感,慵懶度假
48,48,https://image.obdesign.com.tw/catalog/products/AB17766/AB17766@1.jpg,AB17766,簡約質感,性感迷人
49,49,https://image.obdesign.com.tw/catalog/products/AB16769/AB16769@1.jpg,AB16769,清新甜美,溫柔浪漫
50,50,https://image.obdesign.com.tw/catalog/products/FA2741/FA2741@1.jpg,FA2741,簡約質感,
51,51,https://image.obdesign.com.tw/catalog/products/AB18217/AB18217@1.jpg,AB18217,,
52,52,https://image.obdesign.com.tw/catalog/products/AB17987/AB17987@1.jpg,AB17987,慵懶度假,性感迷人
53,53,https://image.obdesign.com.tw/catalog/products/BA7011/BA7011@1.jpg,BA7011,簡約質感,大氣優雅
54,54,https://image.obdesign.com.tw/catalog/products/DA9605/DA9605@1.jpg,DA9605,清新甜美,慵懶度假
55,55,https://image.obdesign.com.tw/catalog/products/BA6834/BA6834@1.jpg,BA6834,率性休閒,簡約質感
56,56,https://image.obdesign.com.tw/catalog/products/AB17830/AB17830@1.jpg,AB17830,率性休閒,態度個性
57,57,https://image.obdesign.com.tw/catalog/products/BA7025/BA7025@1.jpg,BA7025,清新甜美,溫柔浪漫
58,58,https://image.obdesign.com.tw/catalog/products/AB18253/AB18253@1.jpg,AB18253,,
59,59,https://image.obdesign.com.tw/catalog/products/AB18209/AB18209@1.jpg,AB18209,,
60,60,https://image.obdesign.com.tw/catalog/products/FA2594/FA2594@1.jpg,FA2594,清新甜美,溫柔浪漫
61,61,https://image.obdesign.com.tw/catalog/products/AB16809/AB16809@1.jpg,AB16809,溫柔浪漫,大氣優雅
62,62,https://image.obdesign.com.tw/catalog/products/AB16184/AB16184@1.jpg,AB16184,率性休閒,態度個性
63,63,https://image.obdesign.com.tw/catalog/products/ZQ0046/ZQ0046@1.jpg,ZQ0046,率性休閒,
64,64,https://image.obdesign.com.tw/catalog/products/DA9497/DA9497@1.jpg,DA9497,率性休閒,態度個性
