index,款號,款號品類,圖片,搭配款,搭配款品類,搭配款主圖,平拍圖
0,AB10078,上衣,https://image.obdesign.com.tw/catalog/products/AB10078/AB10078@PIC-7.jpg,BA4933,褲子,https://image.obdesign.com.tw/catalog/products/BA4933/BA4933@1.jpg,
1,AB10078,上衣,https://image.obdesign.com.tw/catalog/products/AB10078/AB10078@PIC-5.jpg,BA4789,褲子,https://image.obdesign.com.tw/catalog/products/BA4789/BA4789@1.jpg,
2,AB10113,上衣,https://image.obdesign.com.tw/catalog/products/AB10113/AB10113@PIC-6.jpg,BA5022,褲子,https://image.obdesign.com.tw/catalog/products/BA5022/BA5022@1.jpg,
3,AB10113,上衣,https://image.obdesign.com.tw/catalog/products/AB10113/AB10113@PIC-2.jpg,BA5070,褲子,https://image.obdesign.com.tw/catalog/products/BA5070/BA5070@1.jpg,
4,AB10113,上衣,https://image.obdesign.com.tw/catalog/products/AB10113/AB10113@T9-1.jpg,BA5025,褲子,https://image.obdesign.com.tw/catalog/products/BA5025/BA5025@1.jpg,
5,AB10798,上衣,https://image.obdesign.com.tw/catalog/products/AB10798/AB10798@PIC-9.jpg,BA5213,褲子,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@CB-T4-6E02F9D5A8C4302AFE37.png
6,AB10824,上衣,https://image.obdesign.com.tw/catalog/products/AB10824/AB10824@PIC-5.jpg,BA4930,褲子,https://image.obdesign.com.tw/catalog/products/BA4930/BA4930@1.jpg,
7,AB10824,上衣,https://image.obdesign.com.tw/catalog/products/AB10824/AB10824@PIC-8.jpg,BA4037,褲子,https://image.obdesign.com.tw/catalog/products/BA4037/BA4037@1.jpg,
8,AB10824,上衣,https://image.obdesign.com.tw/catalog/products/AB10824/AB10824@PIC-1.jpg,BA4886,褲子,https://image.obdesign.com.tw/catalog/products/BA4886/BA4886@1.jpg,https://image.obdesign.com.tw/catalog/products/BA4886/BA4886@CB-T4-96C29A622524188BDA6A.png
9,AB10898,上衣,https://image.obdesign.com.tw/catalog/products/AB10898/AB10898@PIC-8.jpg,BA5213,褲子,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@CB-T4-6E02F9D5A8C4302AFE37.png
10,AB10988,上衣,https://image.obdesign.com.tw/catalog/products/AB10988/AB10988@PIC-2.jpg,BA5186,褲子,https://image.obdesign.com.tw/catalog/products/BA5186/BA5186@1.jpg,
11,AB10998,上衣,https://image.obdesign.com.tw/catalog/products/AB10998/AB10998@PIC-6.jpg,BA5213,褲子,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@CB-T4-6E02F9D5A8C4302AFE37.png
12,AB11011,上衣,https://image.obdesign.com.tw/catalog/products/AB11011/AB11011@PIC-5.jpg,BA5247,褲子,https://image.obdesign.com.tw/catalog/products/BA5247/BA5247@1.jpg,
13,AB11017,上衣,https://image.obdesign.com.tw/catalog/products/AB11017/AB11017@PIC-5.jpg,BA4886,褲子,https://image.obdesign.com.tw/catalog/products/BA4886/BA4886@1.jpg,https://image.obdesign.com.tw/catalog/products/BA4886/BA4886@CB-T4-96C29A622524188BDA6A.png
14,AB11022,上衣,https://image.obdesign.com.tw/catalog/products/AB11022/AB11022@PIC-9.jpg,BA2983,褲子,https://image.obdesign.com.tw/catalog/products/BA2983/BA2983@1.jpg,
15,AB11046,上衣,https://image.obdesign.com.tw/catalog/products/AB11046/AB11046@PIC-1.jpg,KG0637,褲子,https://image.obdesign.com.tw/catalog/products/KG0637/KG0637@1.jpg,
16,AB11122,上衣,https://image.obdesign.com.tw/catalog/products/AB11122/AB11122@PIC-10.jpg,BA5172,褲子,https://image.obdesign.com.tw/catalog/products/BA5172/BA5172@1.jpg,
17,AB11405,上衣,https://image.obdesign.com.tw/catalog/products/AB11405/AB11405@PIC-10.jpg,BA5342,褲子,https://image.obdesign.com.tw/catalog/products/BA5342/BA5342@1.jpg,
18,AB11478,上衣,https://image.obdesign.com.tw/catalog/products/AB11478/AB11478@PIC-8.jpg,BA5258,褲子,https://image.obdesign.com.tw/catalog/products/BA5258/BA5258@1.jpg,
19,AB11515,上衣,https://image.obdesign.com.tw/catalog/products/AB11515/AB11515@PIC-5.jpg,BA5341,褲子,https://image.obdesign.com.tw/catalog/products/BA5341/BA5341@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5341/BA5341@CB-T4-1C0ECE7A6444E7383451.png
20,AB11579,上衣,https://image.obdesign.com.tw/catalog/products/AB11579/AB11579@PIC-1.jpg,BA5345,褲子,https://image.obdesign.com.tw/catalog/products/BA5345/BA5345@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5345/BA5345@CB-T4-E738E649CE34D0DA7656.png
21,AB11624,上衣,https://image.obdesign.com.tw/catalog/products/AB11624/AB11624@T9-2.jpg,BA5341,褲子,https://image.obdesign.com.tw/catalog/products/BA5341/BA5341@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5341/BA5341@CB-T4-1C0ECE7A6444E7383451.png
22,AB11636,上衣,https://image.obdesign.com.tw/catalog/products/AB11636/AB11636@PIC-12.jpg,BA5345,褲子,https://image.obdesign.com.tw/catalog/products/BA5345/BA5345@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5345/BA5345@CB-T4-E738E649CE34D0DA7656.png
23,AB11647,上衣,https://image.obdesign.com.tw/catalog/products/AB11647/AB11647@PIC-3.jpg,BA5263,褲子,https://image.obdesign.com.tw/catalog/products/BA5263/BA5263@1.jpg,
24,AB11658,上衣,https://image.obdesign.com.tw/catalog/products/AB11658/AB11658@PIC-7.jpg,BA5381,褲子,https://image.obdesign.com.tw/catalog/products/BA5381/BA5381@1.jpg,
25,AB11658,上衣,https://image.obdesign.com.tw/catalog/products/AB11658/AB11658@PIC-3.jpg,BA5263,褲子,https://image.obdesign.com.tw/catalog/products/BA5263/BA5263@1.jpg,
26,AB11686,上衣,https://image.obdesign.com.tw/catalog/products/AB11686/AB11686@PIC-6.jpg,BA4418,褲子,https://image.obdesign.com.tw/catalog/products/BA4418/BA4418@1.jpg,https://image.obdesign.com.tw/catalog/products/BA4418/BA4418@CB-T4-778562683FF46B2BC287.png
27,AB11690,上衣,https://image.obdesign.com.tw/catalog/products/AB11690/AB11690@PIC-4.jpg,BA5317,褲子,https://image.obdesign.com.tw/catalog/products/BA5317/BA5317@1.jpg,
28,AB11692,上衣,https://image.obdesign.com.tw/catalog/products/AB11692/AB11692@PIC-2.jpg,BA5263,褲子,https://image.obdesign.com.tw/catalog/products/BA5263/BA5263@1.jpg,
29,AB11737,上衣,https://image.obdesign.com.tw/catalog/products/AB11737/AB11737@PIC-6.jpg,BA5321,褲子,https://image.obdesign.com.tw/catalog/products/BA5321/BA5321@1.jpg,
30,AB11790,上衣,https://image.obdesign.com.tw/catalog/products/AB11790/AB11790@PIC-5.jpg,BA5315,褲子,https://image.obdesign.com.tw/catalog/products/BA5315/BA5315@1.jpg,
31,AB11832,上衣,https://image.obdesign.com.tw/catalog/products/AB11832/AB11832@PIC-9.jpg,BA4886,褲子,https://image.obdesign.com.tw/catalog/products/BA4886/BA4886@1.jpg,https://image.obdesign.com.tw/catalog/products/BA4886/BA4886@CB-T4-96C29A622524188BDA6A.png
32,AB11834,上衣,https://image.obdesign.com.tw/catalog/products/AB11834/AB11834@PIC-9.jpg,BA4887,褲子,https://image.obdesign.com.tw/catalog/products/BA4887/BA4887@1.jpg,https://image.obdesign.com.tw/catalog/products/BA4887/BA4887@CB-T4-C49B9FB332142D988CC8.png
33,AB11839,上衣,https://image.obdesign.com.tw/catalog/products/AB11839/AB11839@2.jpg,BA4562,褲子,https://image.obdesign.com.tw/catalog/products/BA4562/BA4562@1.jpg,
34,AB11855,上衣,https://image.obdesign.com.tw/catalog/products/AB11855/AB11855@PIC-12.jpg,BA5396,褲子,https://image.obdesign.com.tw/catalog/products/BA5396/BA5396@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5396/BA5396@CB-T4-408A6D81A274500B39C8.png
35,AB11872,上衣,https://image.obdesign.com.tw/catalog/products/AB11872/AB11872@PIC-3.jpg,BA5399,褲子,https://image.obdesign.com.tw/catalog/products/BA5399/BA5399@1.jpg,
36,AB11895,上衣,https://image.obdesign.com.tw/catalog/products/AB11895/AB11895@PIC-19.jpg,BA5468,褲子,https://image.obdesign.com.tw/catalog/products/BA5468/BA5468@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5468/BA5468@CB-T4-1FB57F3AA184575AFA7C.png
37,AB11941,上衣,https://image.obdesign.com.tw/catalog/products/AB11941/AB11941@PIC-3.jpg,BA4887,褲子,https://image.obdesign.com.tw/catalog/products/BA4887/BA4887@1.jpg,https://image.obdesign.com.tw/catalog/products/BA4887/BA4887@CB-T4-C49B9FB332142D988CC8.png
38,AB11942,上衣,https://image.obdesign.com.tw/catalog/products/AB11942/AB11942@PIC-10.jpg,BA5624,褲子,https://image.obdesign.com.tw/catalog/products/BA5624/BA5624@1.jpg,
39,AB11950,上衣,https://image.obdesign.com.tw/catalog/products/AB11950/AB11950@PIC-12.jpg,BA5012,褲子,https://image.obdesign.com.tw/catalog/products/BA5012/BA5012@1.jpg,
