,款號,款號品類,圖片,搭配款,搭配款品類,搭配款主圖,平拍圖
0,AA4614,未設定,https://image.obdesign.com.tw/catalog/products/AA4614/AA4614@PIC-2.jpg,BA2853,未設定,https://image.obdesign.com.tw/catalog/products/BA2853/BA2853@1.jpg,
1,AA4614,未設定,https://image.obdesign.com.tw/catalog/products/AA4614/AA4614@1.jpg,BA2198,未設定,https://image.obdesign.com.tw/catalog/products/BA2198/BA2198@1.jpg,
2,AA4614,未設定,https://image.obdesign.com.tw/catalog/products/AA4614/AA4614@T9-1.jpg,BA2198,未設定,https://image.obdesign.com.tw/catalog/products/BA2198/BA2198@1.jpg,
3,AA4614,未設定,https://image.obdesign.com.tw/catalog/products/AA4614/AA4614@PIC-3.jpg,BA2198,未設定,https://image.obdesign.com.tw/catalog/products/BA2198/BA2198@1.jpg,
4,AA5170,上衣,https://image.obdesign.com.tw/catalog/products/AA5170/AA5170@PIC-5.jpg,BA1157,未設定,https://image.obdesign.com.tw/catalog/products/BA1157/BA1157@1.jpg,
5,AA6020,未設定,https://image.obdesign.com.tw/catalog/products/AA6020/AA6020@PIC-10.jpg,BA4887,褲子,https://image.obdesign.com.tw/catalog/products/BA4887/BA4887@1.jpg,https://image.obdesign.com.tw/catalog/products/BA4887/BA4887@CB-T4-C49B9FB332142D988CC8.png
6,AA7736,上衣,https://image.obdesign.com.tw/catalog/products/AA7736/AA7736@PIC-1.jpg,BA1785,褲子,https://image.obdesign.com.tw/catalog/products/BA1785/BA1785@1.jpg,
7,AA8750,上衣,https://image.obdesign.com.tw/catalog/products/AA8750/AA8750@PIC-6.jpg,BA4375,未設定,https://image.obdesign.com.tw/catalog/products/BA4375/BA4375@1.jpg,
8,AA8750,上衣,https://image.obdesign.com.tw/catalog/products/AA8750/AA8750@PIC-7.jpg,BA4375,未設定,https://image.obdesign.com.tw/catalog/products/BA4375/BA4375@1.jpg,
9,AA9227,上衣,https://image.obdesign.com.tw/catalog/products/AA9227/AA9227@1.jpg,ZC2119,未設定,https://image.obdesign.com.tw/catalog/products/ZC2119/ZC2119@1.jpg,
10,AA9227,上衣,https://image.obdesign.com.tw/catalog/products/AA9227/AA9227@PIC-18.jpg,ZC2119,未設定,https://image.obdesign.com.tw/catalog/products/ZC2119/ZC2119@1.jpg,
11,AB0221,上衣,https://image.obdesign.com.tw/catalog/products/AB0221/AB0221@PIC-15.jpg,FA2226,未設定,https://image.obdesign.com.tw/catalog/products/FA2226 /FA2226 @1.jpg,https://image.obdesign.com.tw/catalog/products/FA2226/FA2226@CB-T4-8001CAB459B44CC862F9.png
12,AB0944,未設定,https://image.obdesign.com.tw/catalog/products/AB0944/AB0944@PIC-2.jpg,BA2694,未設定,https://image.obdesign.com.tw/catalog/products/BA2694/BA2694@1.jpg,
13,AB0944,未設定,https://image.obdesign.com.tw/catalog/products/AB0944/AB0944@T9-1.jpg,BA2694,未設定,https://image.obdesign.com.tw/catalog/products/BA2694/BA2694@1.jpg,
14,AB0944,未設定,https://image.obdesign.com.tw/catalog/products/AB0944/AB0944@1.jpg,BA2694,未設定,https://image.obdesign.com.tw/catalog/products/BA2694/BA2694@1.jpg,
15,AB10012,未設定,https://image.obdesign.com.tw/catalog/products/AB10012/AB10012@PIC-19.jpg,AB12321,上衣,https://image.obdesign.com.tw/catalog/products/AB12321/AB12321@1.jpg,
16,AB10012,未設定,https://image.obdesign.com.tw/catalog/products/AB10012/AB10012@PIC-16.jpg,FA2003,未設定,https://image.obdesign.com.tw/catalog/products/FA2003 /FA2003 @1.jpg,
