index,款號,款號品類,圖片,搭配款,搭配款品類,搭配款主圖,平拍圖,style1,style2
5,AB10798,上衣,https://image.obdesign.com.tw/catalog/products/AB10798/AB10798@PIC-9.jpg,BA5213,褲子,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@CB-T4-6E02F9D5A8C4302AFE37.png,率性休閒,清新甜美
9,AB10898,上衣,https://image.obdesign.com.tw/catalog/products/AB10898/AB10898@PIC-8.jpg,BA5213,褲子,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@CB-T4-6E02F9D5A8C4302AFE37.png,率性休閒,清新甜美
11,AB10998,上衣,https://image.obdesign.com.tw/catalog/products/AB10998/AB10998@PIC-6.jpg,BA5213,褲子,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@CB-T4-6E02F9D5A8C4302AFE37.png,率性休閒,清新甜美
382,AB14220,上衣,https://image.obdesign.com.tw/catalog/products/AB14220/AB14220@PIC-7.jpg,BA5213,褲子,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@CB-T4-6E02F9D5A8C4302AFE37.png,率性休閒,清新甜美
541,KB1137,上衣,https://image.obdesign.com.tw/catalog/products/KB1137/KB1137@PIC-3.jpg,BA5213,褲子,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@CB-T4-6E02F9D5A8C4302AFE37.png,率性休閒,清新甜美
544,KB1145,上衣,https://image.obdesign.com.tw/catalog/products/KB1145/KB1145@PIC-11.jpg,BA5213,褲子,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@CB-T4-6E02F9D5A8C4302AFE37.png,率性休閒,清新甜美
545,KB1147,上衣,https://image.obdesign.com.tw/catalog/products/KB1147/KB1147@PIC-11.jpg,BA5213,褲子,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@CB-T4-6E02F9D5A8C4302AFE37.png,率性休閒,清新甜美
547,KB1149,上衣,https://image.obdesign.com.tw/catalog/products/KB1149/KB1149@PIC-7.jpg,BA5213,褲子,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@CB-T4-6E02F9D5A8C4302AFE37.png,率性休閒,清新甜美
548,KB1156,上衣,https://image.obdesign.com.tw/catalog/products/KB1156/KB1156@PIC-2.jpg,BA5213,褲子,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@CB-T4-6E02F9D5A8C4302AFE37.png,率性休閒,清新甜美
2194,KB1125,外套,https://image.obdesign.com.tw/catalog/products/KB1125/KB1125@PIC-9.jpg,BA5213,褲子,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@CB-T4-6E02F9D5A8C4302AFE37.png,率性休閒,清新甜美
2196,KB1166,外套,https://image.obdesign.com.tw/catalog/products/KB1166/KB1166@PIC-8.jpg,BA5213,褲子,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@CB-T4-6E02F9D5A8C4302AFE37.png,率性休閒,清新甜美
2871,FA2131,未設定,https://image.obdesign.com.tw/catalog/products/FA2131/FA2131@PIC-9.jpg,BA5213,褲子,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@CB-T4-6E02F9D5A8C4302AFE37.png,率性休閒,清新甜美
17,AB11647,上衣,https://image.obdesign.com.tw/catalog/products/AB11647/AB11647@1.jpg,BA5213,褲子,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@CB-T4-6E02F9D5A8C4302AFE37.png,率性休閒,清新甜美
145,AB14120,上衣,https://image.obdesign.com.tw/catalog/products/AB14120/AB14120@1.jpg,BA5213,褲子,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@CB-T4-6E02F9D5A8C4302AFE37.png,率性休閒,清新甜美
164,AB14220,上衣,https://image.obdesign.com.tw/catalog/products/AB14220/AB14220@1.jpg,BA5213,褲子,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@CB-T4-6E02F9D5A8C4302AFE37.png,率性休閒,清新甜美
190,AB14322,上衣,https://image.obdesign.com.tw/catalog/products/AB14322/AB14322@1.jpg,BA5213,褲子,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@CB-T4-6E02F9D5A8C4302AFE37.png,率性休閒,清新甜美
258,AB14659,上衣,https://image.obdesign.com.tw/catalog/products/AB14659/AB14659@1.jpg,BA5213,褲子,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@CB-T4-6E02F9D5A8C4302AFE37.png,率性休閒,清新甜美
899,AB17444,上衣,https://image.obdesign.com.tw/catalog/products/AB17444/AB17444@1.jpg,BA5213,褲子,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@CB-T4-6E02F9D5A8C4302AFE37.png,率性休閒,清新甜美
903,AB2349,上衣,https://image.obdesign.com.tw/catalog/products/AB2349/AB2349@1.jpg,BA5213,褲子,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@CB-T4-6E02F9D5A8C4302AFE37.png,率性休閒,清新甜美
