,index,款號,款號品類,款號_style1,款號_style2,圖片,搭配款,搭配款品類,搭配款_style1,搭配款_style2,搭配款主圖,平拍圖
0,62,AB13324,上衣,清新甜美,溫柔浪漫,https://image.obdesign.com.tw/catalog/products/AB13324/AB13324@1.jpg,BA3684,褲子,清新甜美,溫柔浪漫,https://image.obdesign.com.tw/catalog/products/BA3684/BA3684@1.jpg,
1,297,AB13659,上衣,清新甜美,溫柔浪漫,https://image.obdesign.com.tw/catalog/products/AB13659/AB13659@PIC-7.jpg,BA3684,褲子,清新甜美,溫柔浪漫,https://image.obdesign.com.tw/catalog/products/BA3684/BA3684@1.jpg,
2,87,AB13659,上衣,清新甜美,溫柔浪漫,https://image.obdesign.com.tw/catalog/products/AB13659/AB13659@1.jpg,BA3684,褲子,清新甜美,溫柔浪漫,https://image.obdesign.com.tw/catalog/products/BA3684/BA3684@1.jpg,
3,387,AB14330,上衣,清新甜美,溫柔浪漫,https://image.obdesign.com.tw/catalog/products/AB14330/AB14330@PIC-6.jpg,BA3684,褲子,清新甜美,溫柔浪漫,https://image.obdesign.com.tw/catalog/products/BA3684/BA3684@1.jpg,
4,191,AB14330,上衣,清新甜美,溫柔浪漫,https://image.obdesign.com.tw/catalog/products/AB14330/AB14330@1.jpg,BA3684,褲子,清新甜美,溫柔浪漫,https://image.obdesign.com.tw/catalog/products/BA3684/BA3684@1.jpg,
5,106,AB13815,上衣,清新甜美,溫柔浪漫,https://image.obdesign.com.tw/catalog/products/AB13815/AB13815@1.jpg,BA3684,褲子,清新甜美,溫柔浪漫,https://image.obdesign.com.tw/catalog/products/BA3684/BA3684@1.jpg,
6,128,AB14004,上衣,率性休閒,清新甜美,https://image.obdesign.com.tw/catalog/products/AB14004/AB14004@1.jpg,BA3684,褲子,清新甜美,溫柔浪漫,https://image.obdesign.com.tw/catalog/products/BA3684/BA3684@1.jpg,
7,183,AB14300,上衣,清新甜美,溫柔浪漫,https://image.obdesign.com.tw/catalog/products/AB14300/AB14300@1.jpg,BA3684,褲子,清新甜美,溫柔浪漫,https://image.obdesign.com.tw/catalog/products/BA3684/BA3684@1.jpg,
8,189,AB14322,上衣,率性休閒,清新甜美,https://image.obdesign.com.tw/catalog/products/AB14322/AB14322@1.jpg,BA3684,褲子,清新甜美,溫柔浪漫,https://image.obdesign.com.tw/catalog/products/BA3684/BA3684@1.jpg,
9,290,AB13617,上衣,簡約質感,都會輕熟,https://image.obdesign.com.tw/catalog/products/AB13617/AB13617@PIC-6.jpg,BA4292,褲子,率性休閒,簡約質感,https://image.obdesign.com.tw/catalog/products/BA4292/BA4292@1.jpg,
10,1206,AB13648,上衣,清新甜美,溫柔浪漫,https://image.obdesign.com.tw/catalog/products/AB13648/AB13648@1.jpg,FA1741,裙子,簡約質感,大氣優雅,https://image.obdesign.com.tw/catalog/products/FA1741/FA1741@1.jpg,
11,398,AB14417,上衣,溫柔浪漫,大氣優雅,https://image.obdesign.com.tw/catalog/products/AB14417/AB14417@PIC-9.jpg,BA5247,褲子,率性休閒,大氣優雅,https://image.obdesign.com.tw/catalog/products/BA5247/BA5247@1.jpg,
12,216,AB14417,上衣,溫柔浪漫,大氣優雅,https://image.obdesign.com.tw/catalog/products/AB14417/AB14417@1.jpg,BA5247,褲子,率性休閒,大氣優雅,https://image.obdesign.com.tw/catalog/products/BA5247/BA5247@1.jpg,
13,481,AB16853,上衣,性感迷人,,https://image.obdesign.com.tw/catalog/products/AB16853/AB16853@PIC-10.jpg,BA6681,褲子,率性休閒,慵懶度假,https://image.obdesign.com.tw/catalog/products/BA6681/BA6681@1.jpg,https://image.obdesign.com.tw/catalog/products/BA6681/BA6681@CB-T4-3BBA733C6E84E7B91D71.png
14,493,AB17162,上衣,率性休閒,,https://image.obdesign.com.tw/catalog/products/AB17162/AB17162@PIC-17.jpg,BA6681,褲子,率性休閒,慵懶度假,https://image.obdesign.com.tw/catalog/products/BA6681/BA6681@1.jpg,https://image.obdesign.com.tw/catalog/products/BA6681/BA6681@CB-T4-3BBA733C6E84E7B91D71.png
15,798,AB16862,上衣,簡約質感,都會輕熟,https://image.obdesign.com.tw/catalog/products/AB16862/AB16862@1.jpg,BA6681,褲子,率性休閒,慵懶度假,https://image.obdesign.com.tw/catalog/products/BA6681/BA6681@1.jpg,https://image.obdesign.com.tw/catalog/products/BA6681/BA6681@CB-T4-3BBA733C6E84E7B91D71.png
16,2384,AB16861,上衣,率性休閒,簡約質感,https://image.obdesign.com.tw/catalog/products/AB16861/AB16861@1.jpg,EA3336,外套,率性休閒,都會輕熟,https://image.obdesign.com.tw/catalog/products/EA3336/EA3336@1.jpg,https://image.obdesign.com.tw/catalog/products/EA3336/EA3336@CB-T4-4A4B7C7CA5C427DBCB4D.png
17,484,AB16890,上衣,率性休閒,都會輕熟,https://image.obdesign.com.tw/catalog/products/AB16890/AB16890@1.jpg,BA6680,褲子,率性休閒,態度個性,https://image.obdesign.com.tw/catalog/products/BA6680/BA6680@1.jpg,https://image.obdesign.com.tw/catalog/products/BA6680/BA6680@CB-T4-1CA606DBB1244E295B39.png
18,5465,BA6675,褲子,率性休閒,性感迷人,https://image.obdesign.com.tw/catalog/products/BA6675/BA6675@PIC-27.jpg,BA6680,褲子,率性休閒,態度個性,https://image.obdesign.com.tw/catalog/products/BA6680/BA6680@1.jpg,https://image.obdesign.com.tw/catalog/products/BA6680/BA6680@CB-T4-1CA606DBB1244E295B39.png
19,5468,BA6680,褲子,率性休閒,態度個性,https://image.obdesign.com.tw/catalog/products/BA6680/BA6680@PIC-10.jpg,BA6680,褲子,率性休閒,態度個性,https://image.obdesign.com.tw/catalog/products/BA6680/BA6680@1.jpg,https://image.obdesign.com.tw/catalog/products/BA6680/BA6680@CB-T4-1CA606DBB1244E295B39.png
20,485,AB16890,上衣,率性休閒,都會輕熟,https://image.obdesign.com.tw/catalog/products/AB16890/AB16890@PIC-19.jpg,BA6696,褲子,簡約質感,清新甜美,https://image.obdesign.com.tw/catalog/products/BA6696/BA6696@1.jpg,https://image.obdesign.com.tw/catalog/products/BA6696/BA6696@CB-T4-F83CD3B5C95452CA6F41.png
21,1468,AB16890,上衣,率性休閒,都會輕熟,https://image.obdesign.com.tw/catalog/products/AB16890/AB16890@PIC-5.jpg,ZC2606,未設定,率性休閒,態度個性,https://image.obdesign.com.tw/catalog/products/ZC2606/ZC2606@1.jpg,
22,1467,AB16854,上衣,率性休閒,性感迷人,https://image.obdesign.com.tw/catalog/products/AB16854/AB16854@PIC-1.jpg,ZC2606,未設定,率性休閒,態度個性,https://image.obdesign.com.tw/catalog/products/ZC2606/ZC2606@1.jpg,
23,1469,AB17110,上衣,率性休閒,態度個性,https://image.obdesign.com.tw/catalog/products/AB17110/AB17110@PIC-7.jpg,ZC2606,未設定,率性休閒,態度個性,https://image.obdesign.com.tw/catalog/products/ZC2606/ZC2606@1.jpg,
24,1766,AB16986,上衣,率性休閒,態度個性,https://image.obdesign.com.tw/catalog/products/AB16986/AB16986@PIC-12.jpg,EA3326,外套,率性休閒,慵懶度假,https://image.obdesign.com.tw/catalog/products/EA3326/EA3326@1.jpg,https://image.obdesign.com.tw/catalog/products/EA3326/EA3326@CB-T4-DB4C9A502904E90AE3C2.png
25,2407,AB17162,上衣,率性休閒,,https://image.obdesign.com.tw/catalog/products/AB17162/AB17162@1.jpg,EA3326,外套,率性休閒,慵懶度假,https://image.obdesign.com.tw/catalog/products/EA3326/EA3326@1.jpg,https://image.obdesign.com.tw/catalog/products/EA3326/EA3326@CB-T4-DB4C9A502904E90AE3C2.png
26,1833,AB16986,上衣,率性休閒,態度個性,https://image.obdesign.com.tw/catalog/products/AB16986/AB16986@PIC-24.jpg,AB16986,上衣,率性休閒,態度個性,https://image.obdesign.com.tw/catalog/products/AB16986/AB16986@1.jpg,https://image.obdesign.com.tw/catalog/products/AB16986/AB16986@CB-T4-D097FF0A6C046349BB7F.png
27,490,AB17126,上衣,率性休閒,慵懶度假,https://image.obdesign.com.tw/catalog/products/AB17126/AB17126@PIC-5.jpg,BA2779,褲子,率性休閒,清新甜美,https://image.obdesign.com.tw/catalog/products/BA2779/BA2779@1.jpg,https://image.obdesign.com.tw/catalog/products/BA2779/BA2779@CB-T4-DBD0356BDD543549A702.png
