index,款號,款號品類,圖片,搭配款,搭配款品類,搭配款主圖,平拍圖,style1,style2
92,AB12487,上衣,https://image.obdesign.com.tw/catalog/products/AB12487/AB12487@PIC-1.jpg,BA5255,褲子,https://image.obdesign.com.tw/catalog/products/BA5255/BA5255@1.jpg,,清新甜美,溫柔浪漫
107,AB12602,上衣,https://image.obdesign.com.tw/catalog/products/AB12602/AB12602@PIC-4.jpg,BA5503,褲子,https://image.obdesign.com.tw/catalog/products/BA5503/BA5503@1.jpg,,清新甜美,溫柔浪漫
110,AB12638,上衣,https://image.obdesign.com.tw/catalog/products/AB12638/AB12638@PIC-17.jpg,BA5601,褲子,https://image.obdesign.com.tw/catalog/products/BA5601/BA5601@1.jpg,,率性休閒,清新甜美
886,AB12638,上衣,https://image.obdesign.com.tw/catalog/products/AB12638/AB12638@PIC-1.jpg,CA1962,裙子,https://image.obdesign.com.tw/catalog/products/CA1962/CA1962@1.jpg,,率性休閒,清新甜美
156,AB12968,上衣,https://image.obdesign.com.tw/catalog/products/AB12968/AB12968@PIC-4.jpg,BA4930,褲子,https://image.obdesign.com.tw/catalog/products/BA4930/BA4930@1.jpg,,清新甜美,溫柔浪漫
157,AB12968,上衣,https://image.obdesign.com.tw/catalog/products/AB12968/AB12968@PIC-5.jpg,BA5503,褲子,https://image.obdesign.com.tw/catalog/products/BA5503/BA5503@1.jpg,,清新甜美,溫柔浪漫
245,AB13324,上衣,https://image.obdesign.com.tw/catalog/products/AB13324/AB13324@PIC-1.jpg,BA5794,褲子,https://image.obdesign.com.tw/catalog/products/BA5794/BA5794@1.jpg,,清新甜美,溫柔浪漫
1250,AB13324,上衣,https://image.obdesign.com.tw/catalog/products/AB13324/AB13324@PIC-7.jpg,BA5743,未設定,https://image.obdesign.com.tw/catalog/products/BA5743/BA5743@1.jpg,,清新甜美,溫柔浪漫
62,AB13324,上衣,https://image.obdesign.com.tw/catalog/products/AB13324/AB13324@1.jpg,BA3684,褲子,https://image.obdesign.com.tw/catalog/products/BA3684/BA3684@1.jpg,,清新甜美,溫柔浪漫
290,AB13617,上衣,https://image.obdesign.com.tw/catalog/products/AB13617/AB13617@PIC-6.jpg,BA4292,褲子,https://image.obdesign.com.tw/catalog/products/BA4292/BA4292@1.jpg,,簡約質感,都會輕熟
1281,AB13617,上衣,https://image.obdesign.com.tw/catalog/products/AB13617/AB13617@PIC-16.jpg,BA5244,未設定,https://image.obdesign.com.tw/catalog/products/BA5244/BA5244@1.jpg,,簡約質感,都會輕熟
1282,AB13617,上衣,https://image.obdesign.com.tw/catalog/products/AB13617/AB13617@PIC-18.jpg,BA5841,未設定,https://image.obdesign.com.tw/catalog/products/BA5841/BA5841@1.jpg,,簡約質感,都會輕熟
293,AB13648,上衣,https://image.obdesign.com.tw/catalog/products/AB13648/AB13648@PIC-15.jpg,BA2566,褲子,https://image.obdesign.com.tw/catalog/products/BA2566/BA2566@1.jpg,,清新甜美,溫柔浪漫
294,AB13648,上衣,https://image.obdesign.com.tw/catalog/products/AB13648/AB13648@PIC-1.jpg,BA5837,褲子,https://image.obdesign.com.tw/catalog/products/BA5837/BA5837@1.jpg,,清新甜美,溫柔浪漫
914,AB13648,上衣,https://image.obdesign.com.tw/catalog/products/AB13648/AB13648@PIC-20.jpg,CA2086,裙子,https://image.obdesign.com.tw/catalog/products/CA2086/CA2086@1.jpg,,清新甜美,溫柔浪漫
1206,AB13648,上衣,https://image.obdesign.com.tw/catalog/products/AB13648/AB13648@1.jpg,FA1741,裙子,https://image.obdesign.com.tw/catalog/products/FA1741/FA1741@1.jpg,,清新甜美,溫柔浪漫
297,AB13659,上衣,https://image.obdesign.com.tw/catalog/products/AB13659/AB13659@PIC-7.jpg,BA3684,褲子,https://image.obdesign.com.tw/catalog/products/BA3684/BA3684@1.jpg,,清新甜美,溫柔浪漫
87,AB13659,上衣,https://image.obdesign.com.tw/catalog/products/AB13659/AB13659@1.jpg,BA3684,褲子,https://image.obdesign.com.tw/catalog/products/BA3684/BA3684@1.jpg,,清新甜美,溫柔浪漫
338,AB13858,上衣,https://image.obdesign.com.tw/catalog/products/AB13858/AB13858@PIC-4.jpg,BA5908,褲子,https://image.obdesign.com.tw/catalog/products/BA5908/BA5908@1.jpg,,率性休閒,清新甜美
