,主款號,主款號品類,主款圖,搭配款,搭配款品類,搭配款主圖,平拍圖
0,AA4231,上衣,https://image.obdesign.com.tw/catalog/products/AA4231/AA4231@1.jpg,BA2755,未設定,https://image.obdesign.com.tw/catalog/products/BA2755/BA2755@1.jpg,
1,AA4231,上衣,https://image.obdesign.com.tw/catalog/products/AA4231/AA4231@1.jpg,BA3016,未設定,https://image.obdesign.com.tw/catalog/products/BA3016/BA3016@1.jpg,
2,AA6036,上衣,https://image.obdesign.com.tw/catalog/products/AA6036/AA6036@1.jpg,BA5258,褲子,https://image.obdesign.com.tw/catalog/products/BA5258/BA5258@1.jpg,
3,AA6909,上衣,https://image.obdesign.com.tw/catalog/products/AA6909/AA6909@1.jpg,BA6660,褲子,https://image.obdesign.com.tw/catalog/products/BA6660/BA6660@1.jpg,https://image.obdesign.com.tw/catalog/products/BA6660/BA6660@CB-T4-55D640256DB4BAD8353E.png
4,AA7105,上衣,https://image.obdesign.com.tw/catalog/products/AA7105/AA7105@1.jpg,BA4887,褲子,https://image.obdesign.com.tw/catalog/products/BA4887/BA4887@1.jpg,https://image.obdesign.com.tw/catalog/products/BA4887/BA4887@CB-T4-C49B9FB332142D988CC8.png
5,AA7152,上衣,https://image.obdesign.com.tw/catalog/products/AA7152/AA7152@1.jpg,ZC0150,未設定,https://image.obdesign.com.tw/catalog/products/ZC0150/ZC0150@1.jpg,
6,AA8197,上衣,https://image.obdesign.com.tw/catalog/products/AA8197/AA8197@1.jpg,FA0607,未設定,https://image.obdesign.com.tw/catalog/products/FA0607/FA0607@1.jpg,
7,AA8900,上衣,https://image.obdesign.com.tw/catalog/products/AA8900/AA8900@1.jpg,BA4689,褲子,https://image.obdesign.com.tw/catalog/products/BA4689/BA4689@1.jpg,
8,AA9022,上衣,https://image.obdesign.com.tw/catalog/products/AA9022/AA9022@1.jpg,CA689,未設定,https://image.obdesign.com.tw/catalog/products/CA689/CA689@1.jpg,
9,AA9022,上衣,https://image.obdesign.com.tw/catalog/products/AA9022/AA9022@1.jpg,EA1448,未設定,https://image.obdesign.com.tw/catalog/products/EA1448/EA1448@1.jpg,
10,AA9026,上衣,https://image.obdesign.com.tw/catalog/products/AA9026/AA9026@1.jpg,EA3209,外套,https://image.obdesign.com.tw/catalog/products/EA3209/EA3209@1.jpg,
11,AA9033,上衣,https://image.obdesign.com.tw/catalog/products/AA9033/AA9033@1.jpg,FA0439,未設定,https://image.obdesign.com.tw/catalog/products/FA0439/FA0439@1.jpg,
12,AA9208,上衣,https://image.obdesign.com.tw/catalog/products/AA9208/AA9208@1.jpg,BA5483,褲子,https://image.obdesign.com.tw/catalog/products/BA5483/BA5483@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5483/BA5483@CB-T4-5DFFB896BF64F53AABDB.png
13,AA9302,上衣,https://image.obdesign.com.tw/catalog/products/AA9302/AA9302@1.jpg,ZC0459,未設定,https://image.obdesign.com.tw/catalog/products/ZC0459/ZC0459@1.jpg,
14,AA9302,上衣,https://image.obdesign.com.tw/catalog/products/AA9302/AA9302@1.jpg,ZC0474,未設定,https://image.obdesign.com.tw/catalog/products/ZC0474/ZC0474@1.jpg,
15,AA9574,上衣,https://image.obdesign.com.tw/catalog/products/AA9574/AA9574@1.jpg,BA4930,褲子,https://image.obdesign.com.tw/catalog/products/BA4930/BA4930@1.jpg,
16,AA9574,上衣,https://image.obdesign.com.tw/catalog/products/AA9574/AA9574@1.jpg,FA1724,未設定,https://image.obdesign.com.tw/catalog/products/FA1724/FA1724@1.jpg,
17,AA9675,上衣,https://image.obdesign.com.tw/catalog/products/AA9675/AA9675@1.jpg,EA2990,未設定,https://image.obdesign.com.tw/catalog/products/EA2990/EA2990@1.jpg,
18,AA9718,上衣,https://image.obdesign.com.tw/catalog/products/AA9718/AA9718@1.jpg,CA2387,裙子,https://image.obdesign.com.tw/catalog/products/CA2387/CA2387@1.jpg,https://image.obdesign.com.tw/catalog/products/CA2387/CA2387@CB-T4-ACD62918A7A497192800.png
19,AA9983,上衣,https://image.obdesign.com.tw/catalog/products/AA9983/AA9983@1.jpg,ZC0568,未設定,https://image.obdesign.com.tw/catalog/products/ZC0568/ZC0568@1.jpg,
20,AB0116,上衣,https://image.obdesign.com.tw/catalog/products/AB0116/AB0116@1.jpg,BA0321,未設定,https://image.obdesign.com.tw/catalog/products/BA0321/BA0321@1.jpg,
21,AB0116,上衣,https://image.obdesign.com.tw/catalog/products/AB0116/AB0116@1.jpg,BA3274,未設定,https://image.obdesign.com.tw/catalog/products/BA3274/BA3274@1.jpg,
22,AB0116,上衣,https://image.obdesign.com.tw/catalog/products/AB0116/AB0116@1.jpg,EF0120,未設定,https://image.obdesign.com.tw/catalog/products/EF0120/EF0120@1.jpg,
23,AB0116,上衣,https://image.obdesign.com.tw/catalog/products/AB0116/AB0116@1.jpg,BF0109,未設定,https://image.obdesign.com.tw/catalog/products/BF0109/BF0109@1.jpg,
24,AB0281,上衣,https://image.obdesign.com.tw/catalog/products/AB0281/AB0281@1.jpg,AA9705,未設定,https://image.obdesign.com.tw/catalog/products/AA9705/AA9705@1.jpg,
25,AB0396,上衣,https://image.obdesign.com.tw/catalog/products/AB0396/AB0396@1.jpg,EA2927,未設定,https://image.obdesign.com.tw/catalog/products/EA2927/EA2927@1.jpg,
26,AB0396,上衣,https://image.obdesign.com.tw/catalog/products/AB0396/AB0396@1.jpg,ZC0535,未設定,https://image.obdesign.com.tw/catalog/products/ZC0535/ZC0535@1.jpg,
27,AB0848,上衣,https://image.obdesign.com.tw/catalog/products/AB0848/AB0848@1.jpg,EA1469,未設定,https://image.obdesign.com.tw/catalog/products/EA1469/EA1469@1.jpg,
28,AB10017,上衣,https://image.obdesign.com.tw/catalog/products/AB10017/AB10017@1.jpg,ZC1825,未設定,https://image.obdesign.com.tw/catalog/products/ZC1825/ZC1825@1.jpg,
29,AB10059,上衣,https://image.obdesign.com.tw/catalog/products/AB10059/AB10059@1.jpg,BA4978,未設定,https://image.obdesign.com.tw/catalog/products/BA4978/BA4978@1.jpg,
30,AB10059,上衣,https://image.obdesign.com.tw/catalog/products/AB10059/AB10059@1.jpg,CA1649,未設定,https://image.obdesign.com.tw/catalog/products/CA1649/CA1649@1.jpg,
31,AB10121,上衣,https://image.obdesign.com.tw/catalog/products/AB10121/AB10121@1.jpg,BA4885,褲子,https://image.obdesign.com.tw/catalog/products/BA4885/BA4885@1.jpg,
32,AB10121,上衣,https://image.obdesign.com.tw/catalog/products/AB10121/AB10121@1.jpg,CA1315,裙子,https://image.obdesign.com.tw/catalog/products/CA1315/CA1315@1.jpg,
33,AB10122,上衣,https://image.obdesign.com.tw/catalog/products/AB10122/AB10122@1.jpg,BA4885,褲子,https://image.obdesign.com.tw/catalog/products/BA4885/BA4885@1.jpg,
34,AB10122,上衣,https://image.obdesign.com.tw/catalog/products/AB10122/AB10122@1.jpg,BA4917,褲子,https://image.obdesign.com.tw/catalog/products/BA4917/BA4917@1.jpg,https://image.obdesign.com.tw/catalog/products/BA4917/BA4917@CB-T4-E9DB66A9E07403481FD0.png
