款號搭配,上架年分,季別,MainSeries,Dimension,對象,Gender,標籤類型,元素,主題類型,主題類型內容,風格,Material,花型
AB0116,2015,夏,AB0116,上衣,女裝|,女性,T-SHIRT|,長版|短袖|,年輕族群旅行日記,簡約風|機場/戶外休閒穿搭|,柔美|氣質優雅|微甜女孩|,"棉(一般,含棉量60%)|蕾絲|",素面/色|
AB0194,2015,夏,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AB0391,2016,夏,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AB0435,2016,夏,AB0435,上衣,女裝|,女性,T-SHIRT|,正常|短袖|,NULL,NULL,NULL,"棉(一般,含棉量60%)|聚酯纖維|",字母|素面/色|
AB0848,2016,夏,AB0848,上衣,女裝|,女性,T-SHIRT|,正常|短袖|,年輕族群旅行日記,簡約風|機場/戶外休閒穿搭|,無印風|簡約風|,竹節棉|,素面/色|
AB0901,2016,春秋,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AB0944,2016,春秋,AB0944,上衣,女裝|,女性,淑女上衣|,七八分袖|正常|,NULL,NULL,簡約風|OL|輕熟女|,棉麻|,素面/色|
AB10018,2019,夏,AB10018,上衣,女裝|,女性,淑女上衣|,正常|無袖|,年輕族群旅行日記,甜美風|機場/戶外休閒穿搭|,女孩系|渡假風|微性感|,聚酯纖維|,大印花|
AB10031,2019,夏,AB10031,上衣,女裝|,女性,背心|,正常|無袖|,抗溫差,抗溫差|,柔美|微性感|,純棉/全棉/高棉(含棉量95%以上)|蕾絲|,素面/色|
AB10041,2019,夏,AB10041,上衣,女裝|,女性,淑女上衣|,正常|短袖|,上班族年輕族群旅行日記,甜美新鮮人|懷舊復古|機場/戶外休閒穿搭|,復古風|,聚酯纖維|,星星|拼色/配色|
AB10059,2019,夏,AB10059,上衣,女裝|,女性,淑女上衣|,正常|短袖|,NULL,NULL,柔美|,網紗|雪紡|,素面/色|
AB10064,2019,夏,AB10064,上衣,女裝|,女性,T-SHIRT|,正常|短袖|,抗暑涼夏,抗暑涼夏|,休閒風|可愛|童趣風|,純棉/全棉/高棉(含棉量95%以上)|針織|,字母|拼色/配色|動物圖|
AB10078,2019,夏,AB10078,上衣,女裝|,女性,假兩件|,七八分袖|正常|,抗溫差年輕族群抗暑涼夏旅行日記,抗溫差|簡約風|抗暑涼夏|機場/戶外休閒穿搭|,氣質優雅|簡約風|,聚酯纖維|,素面/色|
AB10088,2019,夏,AB10088,上衣,女裝|,女性,淑女上衣|,正常|短袖|,旅行日記抗暑涼夏,打卡穿搭|抗暑涼夏|,波希米亞風|渡假風|,棉麻|,繡花|
AB10089,2019,夏,AB10089,上衣,女裝|,女性,襯衫|,五分袖|正常|,年輕族群旅行日記,簡約風|機場/戶外休閒穿搭|,小資女|無印風|休閒風|,純棉/全棉/高棉(含棉量95%以上)|,素面/色|
AB10092,2019,夏,AB10092,上衣,女裝|,女性,淑女上衣|,正常|短袖|,上班族抗暑涼夏年輕族群婚禮穿搭,輕優雅主管|甜美新鮮人|抗暑涼夏|簡約風|婚禮賓客穿搭|,氣質優雅|輕熟女|,雪紡|,素面/色|
AB10104,2019,春秋,AB10104,上衣,女裝|,女性,T-SHIRT|,正常|七八分袖|,NULL,NULL,休閒風|童趣風|,"棉(一般,含棉量60%)|",繡花|
AB10107,2019,夏,AB10107,上衣,女裝|,女性,T-SHIRT|,短袖|正常|,NULL,NULL,簡約風|休閒風|韓風|,純棉/全棉/高棉(含棉量95%以上)|針織|,字母|拼色/配色|
AB10113,2019,夏,AB10113,上衣,女裝|,女性,T-SHIRT|,正常|短袖|,抗暑涼夏,抗暑涼夏|,女孩系|休閒風|童趣風|,針織|,素面/色|動物圖|
AB10116,2019,夏,AB10116,上衣,女裝|,女性,連帽上衣|,長版|無袖|,NULL,NULL,運動風|女孩系|休閒風|,純棉/全棉/高棉(含棉量95%以上)|針織|,字母|素面/色|
AB10121,2019,夏,AB10121,上衣,女裝|,女性,T-SHIRT|,正常|短袖|,抗暑涼夏,抗暑涼夏|,小清新|可愛|,針織|,拼色/配色|條紋|
AB10122,2019,夏,AB10122,上衣,女裝|,女性,T-SHIRT|,正常|短袖|,NULL,NULL,女孩系|休閒風|,針織|,拼色/配色|條紋|
AB10130,2019,夏,AB10130,上衣,女裝|,女性,T-SHIRT|,短袖|正常|,抗暑涼夏,抗暑涼夏|,可愛|,純棉/全棉/高棉(含棉量95%以上)|竹節棉|,字母|大印花|動物圖|
AB10180,2019,夏,AB10180,上衣,女裝|,女性,襯衫|,短袖|正常|,抗暑涼夏情人節,抗暑涼夏|情人節|,微甜女孩|小清新|,棉麻|,素面/色|
AB10181,2019,夏,AB10181,上衣,女裝|,女性,淑女上衣|,短袖|正常|,情人節婚禮穿搭,情人節|婚禮賓客穿搭|,柔美|渡假風|,雪紡|,素面/色|
AB10182,2019,夏,AB10182,上衣,女裝|,女性,淑女上衣|,五分袖|正常|,婚禮穿搭,婚禮賓客穿搭|,簡約風|,針織|,素面/色|
AB10191,2019,夏,AB10191,上衣,女裝|,女性,淑女上衣|,長版|短袖|,年輕族群婚禮穿搭情人節,甜美風|婚禮賓客穿搭|情人節|,柔美|,雪紡|,拼色/配色|幾何/圖騰|
AB10199,2019,夏,AB10199,上衣,女裝|,女性,T-SHIRT|,正常|短袖|,NULL,NULL,休閒風|日系|,針織|,拼色/配色|
AB10201,2019,夏,AB10201,上衣,女裝|,女性,淑女上衣|,正常|短袖|,NULL,NULL,柔美|,雪紡|,拼色/配色|小碎花|
AB10203,2019,夏,AB10203,上衣,女裝|,女性,T-SHIRT|,正常|短袖|,NULL,NULL,簡約風|休閒風|,針織|,字母|拼色/配色|大印花|
AB10212,2019,夏,AB10212,上衣,女裝|,女性,T-SHIRT|,短袖|正常|,NULL,NULL,微甜女孩|,針織|,拼色/配色|
AB10214,2019,夏,AB10214,上衣,女裝|,女性,襯衫|,短袖|正常|,年輕族群上班族,甜美風|甜美新鮮人|,小資女|微甜女孩|可愛|,棉麻|,條紋|
AB10246,2019,夏,AB10246,上衣,女裝|,女性,淑女上衣|,短袖|正常|,NULL,NULL,日系|,純棉/全棉/高棉(含棉量95%以上)|針織|,拼色/配色|條紋|
AB10266,2019,四季,AB10266,上衣,女裝|,女性,T-SHIRT|,短袖|正常|,年輕族群上班族,甜美風|輕優雅主管|,柔美|微性感|,"棉(一般,含棉量60%)|蕾絲|",素面/色|
AB10267,2019,夏,AB10267,上衣,女裝|,女性,淑女上衣|,短袖|正常|,情人節,情人節|,姊姊風|韓風|輕熟女|,雪紡|,素面/色|
AB10285,2019,夏,AB10285,上衣,女裝|,女性,淑女上衣|,正常|短袖|,情人節年輕族群微性感,情人節|甜美風|微性感|,微甜女孩|微性感|,針織|,素面/色|條紋|
AB10290,2019,夏,AB10290,上衣,女裝|,女性,淑女上衣|,無袖|正常|,情人節,情人節|,氣質優雅|簡約風|輕熟女|,針織|,素面/色|
AB10294,2019,夏,AB10294,上衣,女裝|,女性,淑女上衣|,短袖|正常|,抗暑涼夏,抗暑涼夏|,歐美|,針織|,素面/色|
AB10305,2019,夏,AB10305,上衣,女裝|,女性,T-SHIRT|,正常|短袖|,KOL/KOC,Claire|,休閒風|日系|,針織|純棉/全棉/高棉(含棉量95%以上)|,拼色/配色|條紋|
AB10307,2019,夏,AB10307,上衣,女裝|,女性,T-SHIRT|,短袖|正常|,NULL,NULL,柔美|,針織|純棉/全棉/高棉(含棉量95%以上)|,拼色/配色|
AB10320,2019,夏,AB10320,上衣,女裝|,女性,T-SHIRT|,短袖|正常|,抗暑涼夏,抗暑涼夏|,街頭風|休閒風|,純棉/全棉/高棉(含棉量95%以上)|,字母|拼色/配色|
AB10324,2019,夏,AB10324,上衣,女裝|,女性,T-SHIRT|,短袖|正常|,抗暑涼夏,抗暑涼夏|,女孩系|休閒風|可愛|,純棉/全棉/高棉(含棉量95%以上)|,字母|拼色/配色|動物圖|繡花|
AB10339,2019,夏,AB10339,上衣,女裝|,女性,T-SHIRT|,短袖|正常|,NULL,NULL,休閒風|,純棉/全棉/高棉(含棉量95%以上)|,字母|拼色/配色|葉子|
AB10349,2019,夏,AB10349,上衣,女裝|,女性,淑女上衣|,短袖|正常|,年輕族群情人節,甜美風|情人節|,柔美|氣質優雅|微甜女孩|,針織|,拼色/配色|
AB1035,2016,春秋,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AB10357,2019,夏,AB10357,上衣,女裝|,女性,背心|,正常|無袖|,上班族年輕族群抗暑涼夏旅行日記情人節,輕優雅主管|簡約風|抗暑涼夏|機場/戶外休閒穿搭|情人節|,簡約風|休閒風|歐美|,針織|,素面/色|
AB10371,2019,夏,AB10371,上衣,女裝|,女性,淑女上衣|,短袖|正常|,抗暑涼夏雲朵朵年輕族群流行指標熟齡女伶情人節旅行日記上班族,抗暑涼夏|雲朵朵|簡約風|流行元素|熟齡女伶|情人節|機場/戶外休閒穿搭|輕優雅主管|,柔美|氣質優雅|輕熟女|,雪紡|,素面/色|
AB10382,2019,夏,AB10382,上衣,女裝|,女性,淑女上衣|,正常|短袖|,抗暑涼夏,抗暑涼夏|,渡假風|微甜女孩|,人棉|,素面/色|
AB10390,2019,夏,AB10390,上衣,女裝|,女性,淑女上衣|,正常|短袖|,情人節婚禮穿搭,情人節|婚禮賓客穿搭|,柔美|氣質優雅|微性感|,針織|,素面/色|
AB10392,2019,夏,AB10392,上衣,女裝|,女性,淑女上衣|,五分袖|正常|,NULL,NULL,渡假風|微性感|,純棉/全棉/高棉(含棉量95%以上)|,繡花|
AB10397,2019,夏,AB10397,上衣,女裝|,女性,淑女上衣|,正常|短袖|,婚禮穿搭情人節,婚禮賓客穿搭|情人節|,渡假風|微性感|,雪紡|,大印花|
AB10403,2019,夏,AB10403,上衣,女裝|,女性,T-SHIRT|,正常|短袖|,NULL,NULL,街頭風|休閒風|,棉麻|,拼色/配色|
AB10404,2019,夏,AB10404,上衣,女裝|,女性,T-SHIRT|,正常|短袖|,抗暑涼夏,抗暑涼夏|,女孩系|休閒風|童趣風|,針織|純棉/全棉/高棉(含棉量95%以上)|,素面/色|動物圖|
AB10419,2019,夏,AB10419,上衣,女裝|,女性,淑女上衣|,短袖|正常|,情人節婚禮穿搭年輕族群,情人節|婚禮賓客穿搭|甜美風|,微甜女孩|甜美風|小清新|,棉麻|,素面/色|
