Top,Top_label,款號品類,Bottom,Bottom_label,搭配款品類
AB10078,上衣,上衣,BA4933,褲子,褲子
AB12878,上衣,上衣,BA5666,褲子,褲子
AB12961,上衣,上衣,BA5674,褲子,褲子
AB12670,上衣,上衣,BA5684,褲子,褲子
AB12295,上衣,上衣,BA5685,褲子,褲子
GA518,上衣,上衣,BA5694,褲子,褲子
AB13140,上衣,上衣,BA5700,褲子,褲子
AB12812,上衣,上衣,BA5704,褲子,褲子
AB12672,上衣,上衣,BA5711,褲子,褲子
AB13144,上衣,上衣,BA5711,褲子,褲子
AB12370,上衣,上衣,BA5727,褲子,褲子
AB9584,上衣,上衣,BA5727,褲子,褲子
AB12889,上衣,上衣,BA5732,褲子,褲子
AB13167,上衣,上衣,BA5733,褲子,褲子
AB12985,上衣,上衣,BA5753,褲子,褲子
AB13327,上衣,上衣,BA5779,褲子,褲子
AB13242,上衣,上衣,BA5779,褲子,褲子
AB13221,上衣,上衣,BA5784,褲子,褲子
AB12370,上衣,上衣,BA5784,褲子,褲子
AB13071,上衣,上衣,BA5828,褲子,褲子
AB11398,上衣,上衣,BA5828,褲子,褲子
AB13676,上衣,上衣,BA5839,褲子,褲子
AB13694,上衣,上衣,BA5845,褲子,褲子
AB13724,上衣,上衣,BA5847,褲子,褲子
AB13663,上衣,上衣,BA5849,褲子,褲子
AB13821,上衣,上衣,BA5860,褲子,褲子
AB13264,上衣,上衣,BA5666,褲子,褲子
AB12875,上衣,上衣,BA5654,褲子,褲子
AB12701,上衣,上衣,BA5654,褲子,褲子
GA415,上衣,上衣,BA5652,褲子,褲子
AB12535,上衣,上衣,BA5517,褲子,褲子
AB12132,上衣,上衣,BA5521,褲子,褲子
AB9491,上衣,上衣,BA5521,褲子,褲子
AB7470,上衣,上衣,BA5521,褲子,褲子
AB12146,上衣,上衣,BA5521,褲子,褲子
GA511,上衣,上衣,BA5525,褲子,褲子
GA480,上衣,上衣,BA5526,褲子,褲子
AB12291,上衣,上衣,BA5545,褲子,褲子
AB12083,上衣,上衣,BA5546,褲子,褲子
AB12337,上衣,上衣,BA5546,褲子,褲子
AB12533,上衣,上衣,BA5557,褲子,褲子
AB12599,上衣,上衣,BA5557,褲子,褲子
AB12790,上衣,上衣,BA5866,褲子,褲子
AB12607,上衣,上衣,BA5557,褲子,褲子
AB12619,上衣,上衣,BA5560,褲子,褲子
AB12426,上衣,上衣,BA5569,褲子,褲子
AB12370,上衣,上衣,BA5569,褲子,褲子
AB12547,上衣,上衣,BA5579,褲子,褲子
AB12549,上衣,上衣,BA5579,褲子,褲子
AB12174,上衣,上衣,BA5588,褲子,褲子
AB12140,上衣,上衣,BA5592,褲子,褲子
AB12100,上衣,上衣,BA5602,褲子,褲子
AB12647,上衣,上衣,BA5606,褲子,褲子
AB13355,上衣,上衣,BA5619,褲子,褲子
AB13354,上衣,上衣,BA5625,褲子,褲子
AB13378,上衣,上衣,BA5625,褲子,褲子
AB12370,上衣,上衣,BA5557,褲子,褲子
AB12129,上衣,上衣,BA5513,褲子,褲子
AB13843,上衣,上衣,BA5868,褲子,褲子
AB13903,上衣,上衣,BA5870,褲子,褲子
AB14477,上衣,上衣,BA6060,褲子,褲子
AB14426,上衣,上衣,BA6060,褲子,褲子
AB14468,上衣,上衣,BA6060,褲子,褲子
AB14452,上衣,上衣,BA6069,褲子,褲子
AB14604,上衣,上衣,BA6076,褲子,褲子
AB13978,上衣,上衣,BA6079,褲子,褲子
AB14718,上衣,上衣,BA6094,褲子,褲子
AB14899,上衣,上衣,BA6094,褲子,褲子
GA354,上衣,上衣,BA6094,褲子,褲子
AB14857,上衣,上衣,BA6099,褲子,褲子
AB14604,上衣,上衣,BA6099,褲子,褲子
AB13202,上衣,上衣,BA6099,褲子,褲子
AB14594,上衣,上衣,BA6099,褲子,褲子
AB14709,上衣,上衣,BA6103,褲子,褲子
AB14075,上衣,上衣,BA6110,褲子,褲子
AB14828,上衣,上衣,BA6112,褲子,褲子
AB14709,上衣,上衣,BA6112,褲子,褲子
GA354,上衣,上衣,BA6114,褲子,褲子
AB6183,上衣,上衣,BA6114,褲子,褲子
AB14718,上衣,上衣,BA6114,褲子,褲子
AB14541,上衣,上衣,BA6115,褲子,褲子
AB14611,上衣,上衣,BA6115,褲子,褲子
AB14443,上衣,上衣,BA6120,褲子,褲子
AB14899,上衣,上衣,BA6128,褲子,褲子
AB14797,上衣,上衣,BA6134,褲子,褲子
AB14526,上衣,上衣,BA6052,褲子,褲子
AB14641,上衣,上衣,BA6047,褲子,褲子
AB14521,上衣,上衣,BA6039,褲子,褲子
