head_label,tail_label,head_name,tail_name
AB11112,BA6740,上身,下身
AB11112,BA6817,上身,下身
AB11112,DA8574,上身,下身
AB11112,BA6630,上身,下身
AB11112,DA9210,上身,下身
AB11112,BA6605,上身,下身
AB11112,DA8676,上身,下身
AB11112,DA8745,上身,下身
AB11112,DA9320,上身,下身
AB11112,BA6653,上身,下身
AB11112,DA9243,上身,下身
AB11112,DA8836,上身,下身
AB11112,DA9215,上身,下身
AB11112,BA6691,上身,下身
AB11112,BA6733,上身,下身
AB11112,CA2608,上身,下身
AB11112,BA6664,上身,下身
AB11112,BA6735,上身,下身
AB11112,BA1595,上身,下身
AB11112,DA9370,上身,下身
EA3001,BA4803,上身,下身
EA3001,BA4450,上身,下身
EA3001,BA6570,上身,下身
EA3001,BA5189,上身,下身
EA3001,BA6565,上身,下身
EA3001,CA2276,上身,下身
EA3001,BA6563,上身,下身
EA3001,BA6580,上身,下身
EA3001,BA5441,上身,下身
EA3001,BA4931,上身,下身
EA3001,BA6552,上身,下身
EA3001,BA6436,上身,下身
EA3001,BA6440,上身,下身
EA3001,BA1919,上身,下身
EA3001,DA9045,上身,下身
EA3001,DA9073,上身,下身
EA3001,DA9151,上身,下身
EA3001,CA1244,上身,下身
EA3001,BA5639,上身,下身
EA3001,DA8950,上身,下身
AB11047,BA3940,上身,下身
AB11047,BA5185,上身,下身
AB11047,CA2527,上身,下身
AB11047,CA2437,上身,下身
AB11047,CA2446,上身,下身
AB11047,DA9003,上身,下身
AB11047,BA6530,上身,下身
AB11047,CA2540,上身,下身
AB11047,DA9090,上身,下身
AB11047,BA6430,上身,下身
AB11047,DA9060,上身,下身
AB11047,DA8915,上身,下身
AB11047,CA2433,上身,下身
AB11047,CA2452,上身,下身
AB11047,DA9000,上身,下身
AB11047,CA2503,上身,下身
AB11047,DA9061,上身,下身
AB11047,BA6553,上身,下身
AB11047,BA5161,上身,下身
AB11047,BA6444,上身,下身
AB15947,DA9243,上身,下身
AB15947,DA8574,上身,下身
AB15947,DA9210,上身,下身
AB15947,BA6817,上身,下身
AB15947,DA8676,上身,下身
AB15947,DA9370,上身,下身
AB15947,BA6630,上身,下身
AB15947,DA9320,上身,下身
AB15947,BA6691,上身,下身
AB15947,BA6653,上身,下身
AB15947,BA6605,上身,下身
AB15947,DA8745,上身,下身
AB15947,DA9215,上身,下身
AB15947,BA6693,上身,下身
AB15947,BA6735,上身,下身
AB15947,DA8836,上身,下身
AB15947,BA6733,上身,下身
AB15947,CA2601,上身,下身
AB15947,BA6740,上身,下身
AB15947,BA6664,上身,下身
EA3198,CA2434,上身,下身
EA3198,BA6443,上身,下身
EA3198,CA2162,上身,下身
EA3198,CA2525,上身,下身
EA3198,BA6558,上身,下身
EA3198,BA6533,上身,下身
EA3198,BA6556,上身,下身
EA3198,BA6503,上身,下身
EA3198,CA2501,上身,下身
EA3198,CA2449,上身,下身
EA3198,BA6511,上身,下身
EA3198,BA6477,上身,下身
EA3198,DA9328,上身,下身
EA3198,BA6496,上身,下身
EA3198,BA6510,上身,下身
EA3198,BA6335,上身,下身
EA3198,BA6293,上身,下身
EA3198,DA9220,上身,下身
EA3198,CA2395,上身,下身
EA3198,BA6618,上身,下身
EA2711,CA1743,上身,下身
EA2711,CA2475,上身,下身
EA2711,DA9093,上身,下身
EA2711,CA2451,上身,下身
EA2711,CA2494,上身,下身
EA2711,BA6563,上身,下身
EA2711,CA2467,上身,下身
EA2711,BA6519,上身,下身
EA2711,BA6595,上身,下身
EA2711,DA9073,上身,下身
EA2711,BA6568,上身,下身
EA2711,BA6538,上身,下身
EA2711,BA6570,上身,下身
EA2711,BA6436,上身,下身
EA2711,BA1919,上身,下身
EA2711,BA6435,上身,下身
EA2711,CA2532,上身,下身
EA2711,DA8950,上身,下身
EA2711,DA9094,上身,下身
EA2711,BA6546,上身,下身
AB17089,DA9215,上身,下身
AB17089,BA6653,上身,下身
AB17089,DA8836,上身,下身
AB17089,BA6664,上身,下身
AB17089,BA6605,上身,下身
AB17089,BA1595,上身,下身
AB17089,BA6733,上身,下身
AB17089,BA6720,上身,下身
AB17089,BA6702,上身,下身
AB17089,DA9185,上身,下身
AB17089,CA2608,上身,下身
AB17089,BA6745,上身,下身
AB17089,DA8745,上身,下身
AB17089,BA6691,上身,下身
AB17089,DA9320,上身,下身
AB17089,BA6717,上身,下身
AB17089,BA6743,上身,下身
AB17089,DA8885,上身,下身
AB17089,DA9318,上身,下身
AB17089,DA8644,上身,下身
AB9894,BA2694,上身,下身
AB9894,BA6612,上身,下身
AB9894,CA2430,上身,下身
AB9894,CA1114,上身,下身
