head_label,tail_label,head_name,tail_name
AB16395,DA9030,上身,下身
AB16395,DA9005,上身,下身
AB16395,CA2495,上身,下身
AB16395,DA9073,上身,下身
AB16395,BA6530,上身,下身
AB16395,BA6568,上身,下身
AB16395,DA8899,上身,下身
AB16395,DA8935,上身,下身
AB16395,BA6563,上身,下身
AB16395,BA6450,上身,下身
AB16395,DA9002,上身,下身
AB16395,DA8992,上身,下身
AB16395,DA9061,上身,下身
AB16395,BA6440,上身,下身
AB16395,DA9093,上身,下身
AB16395,BA6580,上身,下身
AB16395,CA2451,上身,下身
AB16395,CA2458,上身,下身
AB16395,BA6558,上身,下身
AB16395,CA2527,上身,下身
AB10104,BA4733,上身,下身
AB10104,BA6434,上身,下身
AB10104,CA2526,上身,下身
AB10104,BA6532,上身,下身
AB10104,CA2453,上身,下身
AB10104,BA6518,上身,下身
AB10104,DA9017,上身,下身
AB10104,DA9026,上身,下身
AB10104,BA6520,上身,下身
AB10104,CA2449,上身,下身
AB10104,CA2540,上身,下身
AB10104,DA9045,上身,下身
AB10104,CA2498,上身,下身
AB10104,DA9094,上身,下身
AB10104,CA2467,上身,下身
AB10104,BA6511,上身,下身
AB10104,BA6548,上身,下身
AB10104,CA2433,上身,下身
AB10104,DA9068,上身,下身
AB10104,BA2952,上身,下身
AB13412,CA1996,上身,下身
AB13412,CA2043,上身,下身
AB13412,BA6442,上身,下身
AB13412,CA2306,上身,下身
AB13412,DA9168,上身,下身
AB13412,DA8595,上身,下身
AB13412,DA9141,上身,下身
AB13412,DA9098,上身,下身
AB13412,CA2447,上身,下身
AB13412,DA8995,上身,下身
AB13412,DA8973,上身,下身
AB13412,DA9039,上身,下身
AB13412,BA6502,上身,下身
AB13412,BA6646,上身,下身
AB13412,BA6644,上身,下身
AB13412,CA2533,上身,下身
AB13412,DA9027,上身,下身
AB13412,DA8894,上身,下身
AB13412,DA8951,上身,下身
AB13412,BA6446,上身,下身
AB14341,DA9000,上身,下身
AB14341,DA9009,上身,下身
AB14341,DA9027,上身,下身
AB14341,CA2533,上身,下身
AB14341,CA2451,上身,下身
AB14341,DA9044,上身,下身
AB14341,DA9098,上身,下身
AB14341,DA9141,上身,下身
AB14341,DA8935,上身,下身
AB14341,DA8595,上身,下身
AB14341,BA6530,上身,下身
AB14341,BA6442,上身,下身
AB14341,BA5340,上身,下身
AB14341,DA8644,上身,下身
AB14341,DA8899,上身,下身
AB14341,BA4485,上身,下身
AB14341,DA9168,上身,下身
AB14341,CA2495,上身,下身
AB14341,DA9021,上身,下身
AB14341,CA2573,上身,下身
AB15527,BA6630,上身,下身
AB15527,DA8885,上身,下身
AB15527,DA8942,上身,下身
AB15527,BA2080,上身,下身
AB15527,BF0109,上身,下身
AB15527,CA2563,上身,下身
AB15527,BA6633,上身,下身
AB15527,DA9307,上身,下身
AB15527,DA9130,上身,下身
AB15527,BA6693,上身,下身
AB15527,BA6718,上身,下身
AB15527,DA9160,上身,下身
AB15527,DA9350,上身,下身
AB15527,DA8588,上身,下身
AB15527,BA6694,上身,下身
AB15527,DA8700,上身,下身
AB15527,CA2556,上身,下身
AB15527,BA6682,上身,下身
AB15527,DA9303,上身,下身
AB15527,BA6670,上身,下身
AB16738,DA9045,上身,下身
AB16738,CA2467,上身,下身
AB16738,CA2492,上身,下身
AB16738,CA2449,上身,下身
AB16738,BA6548,上身,下身
AB16738,BA6520,上身,下身
AB16738,DA9017,上身,下身
AB16738,DA9068,上身,下身
AB16738,DA9026,上身,下身
AB16738,DA9094,上身,下身
AB16738,BA2952,上身,下身
