head_label,tail_label,head_name,tail_name
AB10902,BA1595,上身,下身
AB10902,DA9210,上身,下身
AB10902,DA9215,上身,下身
AB10902,BA6780,上身,下身
AB10902,BA5297,上身,下身
AB10902,BA6682,上身,下身
AB10902,CA1950,上身,下身
AB10902,DA9185,上身,下身
AB10902,BA6623,上身,下身
AB10902,BA6724,上身,下身
AB9475,BA5078,上身,下身
AB9475,BA4719,上身,下身
AB9475,CA2276,上身,下身
AB9475,BA4957,上身,下身
AB9475,BA5560,上身,下身
AB9475,BA5718,上身,下身
AB9475,BA3392,上身,下身
AB9475,CA1536,上身,下身
AB9475,BA4763,上身,下身
AB9475,BA5803,上身,下身
AB16903,BA6612,上身,下身
AB16903,DA8924,上身,下身
AB16903,DA9141,上身,下身
AB16903,BA6403,上身,下身
AB16903,DA9192,上身,下身
AB16903,DA8999,上身,下身
AB16903,BA6466,上身,下身
AB16903,BA6641,上身,下身
AB16903,BA6453,上身,下身
AB16903,BA6689,上身,下身
ea2660,BA3888,上身,下身
ea2660,BA1812,上身,下身
ea2660,BA5172,上身,下身
ea2660,BA6002,上身,下身
ea2660,BA4803,上身,下身
ea2660,BA2625,上身,下身
ea2660,BA2125,上身,下身
ea2660,BA5908,上身,下身
ea2660,CA2500,上身,下身
ea2660,BA5273,上身,下身
AB12027,BA6668,上身,下身
AB12027,DA8574,上身,下身
AB12027,DA9370,上身,下身
AB12027,CA2220,上身,下身
AB12027,DA9147,上身,下身
AB12027,CA2145,上身,下身
AB12027,CA2179,上身,下身
AB12027,CA1857,上身,下身
AB12027,DA9210,上身,下身
AB12027,DA9098,上身,下身
AB16258,DA8897,上身,下身
AB16258,DA9125,上身,下身
AB16258,CA2502,上身,下身
AB16258,BA6502,上身,下身
AB16258,DA8995,上身,下身
AB16258,DA8990,上身,下身
AB16258,DA9159,上身,下身
AB16258,DA8974,上身,下身
AB16258,DA9121,上身,下身
AB16258,DA9132,上身,下身
AB17064,DA9039,上身,下身
AB17064,BA6438,上身,下身
AB17064,BA6430,上身,下身
AB17064,BA6646,上身,下身
AB17064,DA8894,上身,下身
AB17064,CA2560,上身,下身
AB17064,BA6466,上身,下身
AB17064,DA8973,上身,下身
AB17064,BA2694,上身,下身
AB17064,DA8951,上身,下身
AB14918,BA4495,上身,下身
AB14918,CA2261,上身,下身
AB14918,BA6155,上身,下身
AB14918,BA5639,上身,下身
AB14918,BA6100,上身,下身
AB14918,BA5803,上身,下身
AB14918,BA6068,上身,下身
AB14918,BA5871,上身,下身
AB14918,CA2098,上身,下身
AB14918,CA1558,上身,下身
AB5768,BA5533,上身,下身
AB5768,BA5266,上身,下身
AB5768,BA6660,上身,下身
AB5768,BA3057,上身,下身
AB5768,BA4688,上身,下身
AB5768,DA2668,上身,下身
AB5768,BA6595,上身,下身
AB5768,BA5618,上身,下身
AB5768,BA4954,上身,下身
AB5768,BA2125,上身,下身
AB16898,CA2454,上身,下身
AB16898,CA2474,上身,下身
AB16898,DA8917,上身,下身
AB16898,BA6442,上身,下身
AB16898,BA6459,上身,下身
AB16898,CA2459,上身,下身
AB16898,DA9000,上身,下身
AB16898,DA8595,上身,下身
AB16898,BA6621,上身,下身
AB16898,DA9239,上身,下身
AB16809,BA6646,上身,下身
AB16809,DA9220,上身,下身
AB16809,CA1114,上身,下身
AB16809,DA9039,上身,下身
AB16809,CA2539,上身,下身
AB16809,DA8894,上身,下身
AB16809,BA6430,上身,下身
AB16809,CA2491,上身,下身
AB16809,DA8898,上身,下身
AB16809,DA8951,上身,下身
AB14709,BA5609,上身,下身
AB14709,BA6231,上身,下身
AB14709,BA5092,上身,下身
AB14709,CA2243,上身,下身
AB14709,BA5574,上身,下身
AB14709,BA5804,上身,下身
AB14709,BA5720,上身,下身
AB14709,BA3190,上身,下身
AB14709,BA4620,上身,下身
AB14709,BA5070,上身,下身
AB14367,CA2177,上身,下身
AB14367,CA249,上身,下身
AB14367,DA9282,上身,下身
AB14367,BA5524,上身,下身
AB14367,DA9303,上身,下身
AB14367,BA6623,上身,下身
AB14367,BA6724,上身,下身
AB14367,DA9193,上身,下身
AB14367,BA6706,上身,下身
AB14367,BA6624,上身,下身
AB10974,DA9282,上身,下身
AB10974,DA9152,上身,下身
AB10974,CA2557,上身,下身
AB10974,DA8824,上身,下身
AB10974,BA6653,上身,下身
AB10974,BA6313,上身,下身
AB10974,BA6700,上身,下身
AB10974,DA8853,上身,下身
AB10974,DA8745,上身,下身
AB10974,BA6736,上身,下身
EA0188,DA8980,上身,下身
EA0188,BA6565,上身,下身
EA0188,DA9042,上身,下身
EA0188,CA2540,上身,下身
EA0188,BA2952,上身,下身
EA0188,CA2495,上身,下身
EA0188,BA6503,上身,下身
EA0188,DA9093,上身,下身
EA0188,DA9045,上身,下身
EA0188,CA2528,上身,下身
AB11830,CA1791,上身,下身
AB11830,BA5358,上身,下身
AB11830,BA2189,上身,下身
AB11830,BA5172,上身,下身
AB11830,BA2123,上身,下身
AB11830,BA5860,上身,下身
AB11830,BA5593,上身,下身
AB11830,CA2355,上身,下身
AB11830,BA6615,上身,下身
AB11830,DA8942,上身,下身
AB15406,CA2578,上身,下身
AB15406,CA2580,上身,下身
AB15406,CA2375,上身,下身
AB15406,BA6718,上身,下身
AB15406,DA8588,上身,下身
AB15406,DA9317,上身,下身
AB15406,DA8841,上身,下身
AB15406,CA2371,上身,下身
AB15406,BA6332,上身,下身
AB15406,DA8823,上身,下身
AB15175,DA9240,上身,下身
AB15175,DA9283,上身,下身
AB15175,BA6343,上身,下身
AB15175,CA2385,上身,下身
AB15175,BA6691,上身,下身
AB15175,DA9307,上身,下身
AB15175,CA2398,上身,下身
AB15175,BA6377,上身,下身
AB15175,BA6712,上身,下身
AB15175,BA6704,上身,下身
AB11615,CA2041,上身,下身
AB11615,BA5215,上身,下身
AB11615,BA4914,上身,下身
AB11615,BA5437,上身,下身
AB11615,CA1384,上身,下身
AB11615,CA2062,上身,下身
AB11615,CA2057,上身,下身
AB11615,BA5710,上身,下身
AB11615,BA5704,上身,下身
AB11615,BA6110,上身,下身
AB13315,CA1987,上身,下身
AB13315,DA8544,上身,下身
AB13315,CA1315,上身,下身
AB13315,BA6668,上身,下身
AB13315,BA6310,上身,下身
AB13315,CA2409,上身,下身
AB13315,DA8574,上身,下身
AB13315,BA6597,上身,下身
AB13315,BA6618,上身,下身
AB13315,DA9185,上身,下身
AB10307,BA6653,上身,下身
AB10307,DA9152,上身,下身
AB10307,DA9282,上身,下身
AB10307,BA6700,上身,下身
AB10307,DA8824,上身,下身
AB10307,CA2560,上身,下身
AB10307,BA6453,上身,下身
AB10307,BA6717,上身,下身
AB10307,BA6346,上身,下身
AB10307,BA6630,上身,下身
AB15344,BA3940,上身,下身
AB15344,BA5524,上身,下身
AB15344,CA1950,上身,下身
AB15344,BA5401,上身,下身
AB15344,BA2574,上身,下身
AB15344,BA5437,上身,下身
AB15344,DA9185,上身,下身
AB15344,BA6020,上身,下身
AB15344,BA5700,上身,下身
AB15344,DA9215,上身,下身
AB11879,BA3915,上身,下身
AB11879,BA5173,上身,下身
AB11879,CA249,上身,下身
AB11879,BA6623,上身,下身
AB11879,BA6724,上身,下身
AB11879,DA9193,上身,下身
AB11879,BA6706,上身,下身
AB11879,BA6624,上身,下身
AB11879,BA6614,上身,下身
AB11879,DA9138,上身,下身
AB16187,DA9220,上身,下身
AB16187,DA8945,上身,下身
AB16187,CA2491,上身,下身
AB16187,CA1114,上身,下身
