head_label,tail_label,head_name,tail_name
AB16395,BA6505,上身,下身
AB16395,BA6511,上身,下身
AB16395,CA2499,上身,下身
AB16395,BA6580,上身,下身
AB16395,CA2451,上身,下身
AB16395,BA3759,上身,下身
AB16395,CA2495,上身,下身
AB16395,DA9030,上身,下身
AB16395,BA6434,上身,下身
AB16395,BA2952,上身,下身
AB16395,BA6588,上身,下身
AB16395,BA6450,上身,下身
AB16395,BA6519,上身,下身
AB16395,BA6568,上身,下身
AB16395,DA8980,上身,下身
AB16395,DA9073,上身,下身
AB16395,DA9151,上身,下身
AB16395,DA9009,上身,下身
AB16395,DA8940,上身,下身
AB16395,DA9029,上身,下身
AB10104,BA5477,上身,下身
AB10104,BA4450,上身,下身
AB10104,CA2076,上身,下身
AB10104,CA1908,上身,下身
AB10104,CA1040,上身,下身
AB10104,BA3913,上身,下身
AB10104,CA1494,上身,下身
AB10104,BA2123,上身,下身
AB10104,BA2625,上身,下身
AB10104,BA5852,上身,下身
AB10104,BA4735,上身,下身
AB10104,BA2125,上身,下身
AB10104,BA5273,上身,下身
AB10104,CA1909,上身,下身
AB10104,BA5870,上身,下身
AB10104,BA6191,上身,下身
AB10104,BA5883,上身,下身
AB10104,CA2261,上身,下身
AB10104,BA5914,上身,下身
AB10104,BA5474,上身,下身
AB13412,CA1996,上身,下身
AB13412,CA2043,上身,下身
AB13412,BA5588,上身,下身
AB13412,CA2306,上身,下身
AB13412,CA1639,上身,下身
AB13412,CA2050,上身,下身
AB13412,CA1250,上身,下身
AB13412,CA2070,上身,下身
AB13412,CA1584,上身,下身
AB13412,BA5541,上身,下身
AB13412,BA6438,上身,下身
AB13412,CA1984,上身,下身
AB13412,BA6601,上身,下身
AB13412,DA8924,上身,下身
AB13412,DA8961,上身,下身
AB13412,DA9039,上身,下身
AB13412,DA8908,上身,下身
AB13412,DA8915,上身,下身
AB13412,BA6502,上身,下身
AB13412,BA6488,上身,下身
AB14341,BA5172,上身,下身
AB14341,BA4871,上身,下身
AB14341,BA5559,上身,下身
AB14341,BA4833,上身,下身
AB14341,BA4816,上身,下身
AB14341,BA4757,上身,下身
AB14341,BA5274,上身,下身
AB14341,BA6036,上身,下身
AB14341,BA5710,上身,下身
AB14341,BA5536,上身,下身
AB14341,BA5527,上身,下身
AB14341,BA5624,上身,下身
AB14341,BA5108,上身,下身
AB14341,BA5256,上身,下身
AB14341,BA5092,上身,下身
AB14341,BA5560,上身,下身
AB14341,BA5644,上身,下身
AB14341,BA4719,上身,下身
AB14341,BA4957,上身,下身
AB14341,BA2964,上身,下身
AB15527,DA9328,上身,下身
AB15527,CA2371,上身,下身
AB15527,DA8683,上身,下身
AB15527,CA2416,上身,下身
AB15527,BA6303,上身,下身
AB15527,DA9301,上身,下身
AB15527,BA6716,上身,下身
AB15527,DA8756,上身,下身
AB15527,DA8801,上身,下身
AB15527,CA2369,上身,下身
AB15527,DA8493,上身,下身
AB15527,BA6381,上身,下身
AB15527,BA6296,上身,下身
AB15527,DA8885,上身,下身
AB15527,DA8743,上身,下身
AB15527,DA9307,上身,下身
AB15527,BA6346,上身,下身
AB15527,CA2601,上身,下身
AB15527,CA2395,上身,下身
AB15527,BA6729,上身,下身
AB16738,BA6588,上身,下身
AB16738,BA6568,上身,下身
AB16738,BA6450,上身,下身
AB16738,DA9073,上身,下身
AB16738,CA2532,上身,下身
AB16738,BA3759,上身,下身
AB16738,DA9151,上身,下身
AB16738,DA9002,上身,下身
AB16738,BA6553,上身,下身
AB16738,BA6496,上身,下身
AB16738,DA9029,上身,下身
AB16738,DA8940,上身,下身
AB16738,CA2495,上身,下身
AB16738,BA6444,上身,下身
AB16738,DA8935,上身,下身
AB16738,CA2451,上身,下身
AB16738,BA6505,上身,下身
AB16738,DA9009,上身,下身
AB16738,CA2499,上身,下身
AB16738,BA2952,上身,下身
AB14526,CA2070,上身,下身
AB14526,CA1991,上身,下身
AB14526,CA1584,上身,下身
AB14526,CA2079,上身,下身
AB14526,CA2043,上身,下身
AB14526,CA1996,上身,下身
AB14526,DA9044,上身,下身
AB14526,BA6519,上身,下身
AB14526,DA8980,上身,下身
AB14526,DA8899,上身,下身
AB14526,BA6580,上身,下身
AB14526,DA9030,上身,下身
AB14526,BA6505,上身,下身
AB14526,BA6511,上身,下身
AB14526,BA2952,上身,下身
AB14526,CA2499,上身,下身
AB14526,CA2451,上身,下身
AB14526,BA6518,上身,下身
AB14526,BA6434,上身,下身
AB14526,BA3759,上身,下身
AB9997,BA4850,上身,下身
AB9997,BA5705,上身,下身
AB9997,CA2325,上身,下身
AB9997,CA1990,上身,下身
AB9997,CA2559,上身,下身
AB9997,CA2449,上身,下身
AB9997,BA6590,上身,下身
