,item_no,embedding
0,CA1895,"[ 0.00928865  0.02665604 -0.00481068 -0.16514571 -0.26531184 -0.5340857
 -0.05351085 -0.19623113  0.35762697  0.14758173  0.3471988   0.15534478
 -0.05586999  0.01046989  0.26818886  0.6938877  -0.07288011  0.3644169
  0.24920064 -0.00500782 -0.07924934 -0.2751837   0.3378265   0.14885274
 -0.29163548 -0.2148789   0.4485702  -0.05874297  0.14736876 -0.10836775
 -0.14873011  0.23825699  0.3318112   0.18813238  0.2925529   0.30439082
 -0.02153186  0.12413069 -0.3080442  -0.20359805  0.1099828   0.04453772
 -0.08169423  0.514986    0.15442476 -0.04948615  0.23466389 -0.17170392
  0.08598477  0.06233869 -0.51128155 -0.158973    0.31538394 -0.00910606
 -0.0772139  -0.3882485  -0.10938693 -0.32382494  0.22529402 -0.07172006
  0.12092291 -0.5294233  -0.31045136 -0.1945867   0.17779875  0.05141557
  0.07399353  0.13345967 -0.37913775  0.07122546  0.0477219   0.2906459
  0.27163115 -0.5356996   0.05004483  0.1255592   0.25892544  0.01002757
  0.14155957  0.15070294  0.13539414  0.0415073  -0.13112263 -0.00447382
  0.07879647 -0.34898216 -0.26979735  0.0637549  -0.1427568   0.67652225
  0.26902607  0.1018783   0.27058983  0.27525395 -0.27595174  0.4854616
 -0.01301637  0.18803394 -0.540631   -0.48367727 -0.12313823  0.17500499
  0.00977831  0.3058732  -0.05495638 -0.27624512  0.09965955  0.19084337
  0.17202078  0.17523727 -0.2609891  -0.31673673 -0.3951692   0.49096477
  0.12832266 -0.23935458  0.01966915  0.21533352  0.24886546  0.02341201
 -0.31318012 -0.43845305 -0.5750248  -0.2666849  -0.35853946  0.18465273
  0.29733342  0.01305692]"
1,BA2067,"[ 0.08428972  0.10995514 -0.23990026  0.07462469 -0.30074453 -0.2110979
 -0.07689959 -0.3192087   0.29582614 -0.04617389  0.04745685 -0.01863742
 -0.26418373  0.29240656  0.14229423  0.3523629   0.07826988  0.03915337
  0.39343023 -0.06097981 -0.3326205  -0.2324956   0.09494718 -0.120827
 -0.4353511  -0.24288195  0.336425   -0.1041529   0.40044963 -0.27900833
  0.043632   -0.09299251  0.29370224  0.50572664  0.13119048  0.06043286
  0.2643393  -0.02202582 -0.24017543 -0.43085003  0.2126715  -0.08597974
  0.21437348  0.21475336  0.1090817  -0.14103849  0.09047549 -0.05880254
 -0.01822542 -0.05275366 -0.49517322 -0.37526453  0.0042733  -0.03550258
 -0.02701983  0.05817776  0.00875963 -0.25040817  0.15713173  0.18398699
  0.3488384  -0.28793317 -0.3016421  -0.1898886   0.03902594  0.1146669
  0.12384128  0.12228891 -0.17539759  0.11795137  0.05008103  0.4436051
 -0.04589445 -0.7094724   0.30717283  0.26985356  0.23091269  0.3378899
  0.2285128  -0.24294345  0.19648738  0.1713201   0.00163346  0.1628287
 -0.097061   -0.42391625 -0.10651223 -0.11347347 -0.34232342  0.58463526
  0.11219444  0.23263942  0.14125502  0.27134076 -0.3141204   0.39794797
 -0.05184859  0.3859644  -0.5983095  -0.07010761 -0.25313598  0.21304077
 -0.3298077   0.24597567 -0.31264758 -0.22182372  0.26590404 -0.11663196
  0.15232606  0.29316983 -0.36640108 -0.2217255  -0.07377867  0.40520173
 -0.10102656 -0.25653794  0.11714983  0.02692814  0.33257344 -0.19616592
  0.13287824 -0.435026   -0.4854043  -0.30641827 -0.4742865  -0.04607897
  0.06497718  0.13905677]"
2,BA5625,"[-0.01215791  0.05155206 -0.06324082 -0.17786354 -0.2573148  -0.620598
  0.03214192 -0.25832883  0.30141878  0.10716987  0.38954636  0.1956518
  0.0385591  -0.11441887  0.28809512  0.6725788  -0.14902338  0.42014146
  0.3267343  -0.02894867  0.11730444 -0.3096818   0.29378748  0.16197643
 -0.13694671 -0.16845635  0.4326817  -0.00596673  0.09198993 -0.1235851
 -0.23369862  0.26931486  0.195011    0.05736815  0.3644746   0.2852885
 -0.11440895  0.17291301 -0.36508316 -0.0387706  -0.0025847   0.03989295
 -0.144735    0.44145972  0.11222698 -0.00760645  0.25846064 -0.15468633
  0.14060614  0.17504057 -0.4311173  -0.1358702   0.39729676 -0.03446269
 -0.08220981 -0.43809968 -0.12384183 -0.29279083  0.24903926 -0.12485641
  0.10656385 -0.58400404 -0.42505533 -0.08929644  0.09449069  0.1092171
  0.07256897  0.19529852 -0.38819367  0.01189676  0.07575209  0.12634382
  0.3241528  -0.43616506 -0.05679984  0.01796422  0.2428047  -0.1133515
  0.12913546  0.19754404  0.01617416  0.0184771  -0.02647902 -0.08718307
  0.10126966 -0.3217399  -0.37364835  0.01208379 -0.12134308  0.5081558
  0.22939292  0.08168348  0.27957976  0.33746246 -0.2600971   0.42602575
  0.04829665  0.03061739 -0.54081744 -0.58044696 -0.14257598  0.02489717
  0.10615902  0.32575357 -0.05104293 -0.38213873  0.02273554  0.18622217
  0.21088274  0.0977492  -0.2706443  -0.16099715 -0.39546162  0.4588002
  0.19130254 -0.07637062 -0.09442665  0.34051752  0.33020595  0.13248387
 -0.35319206 -0.39974198 -0.6062816  -0.16603011 -0.23383357  0.23408403
  0.3181113  -0.09000023]"
3,BA5828,"[ 0.05586433  0.03810484 -0.16128916 -0.15608291 -0.2539844  -0.39754754
 -0.09775482 -0.34308624  0.3536331   0.06824677  0.2802166   0.09797876
 -0.2525955   0.09343222  0.15846136  0.36310604  0.036957    0.25650364
  0.4210134  -0.11145797 -0.22918251 -0.24284413  0.26289678  0.06808353
 -0.243646   -0.06789863  0.3943057  -0.07136858  0.2883364  -0.3223742
 -0.12216917  0.07520582  0.2436999   0.3797575   0.14530095  0.19149157
  0.10584313  0.01739181 -0.29313767 -0.2013101   0.13824771  0.00984338
  0.00180223  0.3318664   0.08871392 -0.12014781  0.14751825 -0.05383456
  0.05321295  0.01216671 -0.46794307 -0.32402295  0.14455095 -0.10439254
 -0.09345116 -0.14249179 -0.03193821 -0.15768752  0.23099405  0.02223303
  0.20752025 -0.4065851  -0.30189782 -0.17682052  0.09814232  0.15991405
 -0.02721046  0.21824774 -0.25997227  0.04182971  0.18993914  0.39530683
  0.08273866 -0.5959841   0.16545388  0.07356752  0.14385548  0.24153394
  0.21122089  0.02371444  0.10098411  0.1654297  -0.0338045   0.10536671
 -0.05963123 -0.46873033 -0.22837079 -0.07551921 -0.11534983  0.49440804
  0.11249464  0.18307732  0.21789667  0.23050436 -0.24861011  0.40240967
 -0.01930492  0.21248487 -0.5758117  -0.2719408  -0.20873341  0.10060715
 -0.25006202  0.27522075 -0.10784006 -0.23007911  0.17282507  0.09999763
  0.21314628  0.14810878 -0.35912442 -0.13707459 -0.1426134   0.48166624
  0.05396927 -0.16592008  0.07777682  0.213559    0.41066527 -0.02809872
 -0.07988777 -0.4193537  -0.51156926 -0.34594074 -0.3364184   0.06374805
  0.23856437 -0.03071915]"
4,CA1923,"[ 0.19208351  0.14483014 -0.2128177  -0.02315993 -0.2349039  -0.30009556
 -0.071126   -0.3428686   0.33749354 -0.08770426  0.23886883  0.04176894
 -0.28402793  0.15785874  0.17584148  0.4975396   0.06042264  0.14218968
  0.31425893  0.01270161 -0.4311367  -0.18582943  0.31013244 -0.0570906
 -0.42369416 -0.15413465  0.39534438 -0.0034209   0.38104033 -0.38741866
  0.01053394 -0.07932396  0.21367837  0.42338744  0.11922963  0.25884658
  0.32782105 -0.0122345  -0.40499073 -0.3936567   0.09711528 -0.0675566
  0.14757207  0.49586815  0.11622365 -0.2324728   0.15005842 -0.06914806
 -0.08298863 -0.00643554 -0.6197639  -0.48910743  0.09181165 -0.0535106
 -0.09247165 -0.11821771  0.0025514  -0.20214336  0.24948993  0.09912898
  0.32155156 -0.3810572  -0.2556566  -0.3343371   0.07259412  0.1833992
  0.11580252  0.14591128 -0.22304916  0.12479006  0.16840903  0.52725035
  0.08875487 -0.6953424   0.24720904  0.1753975   0.10975889  0.22409952
  0.23641393 -0.15819137  0.18941309  0.18822806 -0.15214622  0.15592077
 -0.00153808 -0.4464935  -0.1454533  -0.04820523 -0.2567986   0.61794037
  0.13384384  0.15962866  0.2659929   0.22578722 -0.32939103  0.36814886
 -0.12375201  0.27195063 -0.6197764  -0.15898484 -0.15794587  0.24088463
 -0.37718347  0.19267717 -0.28526035 -0.2389496   0.20858589 -0.01028509
  0.13841696  0.32304153 -0.43120033 -0.26135543 -0.16294093  0.42998618
 -0.04430326 -0.32796007  0.07545504  0.06159687  0.38438314 -0.09435085
 -0.02799278 -0.45979273 -0.5086518  -0.35479057 -0.38372958 -0.00245944
  0.10723199  0.20114467]"
5,BA2370,"[ 0.0268456   0.03156523 -0.12037351 -0.1895548  -0.21802858 -0.42247158
 -0.10445299 -0.31023973  0.29060557  0.0695717   0.25447112  0.11029207
 -0.20717168  0.02701537  0.16070849  0.4189411   0.0231187   0.31061348
  0.38707823 -0.04155685 -0.16930412 -0.22844061  0.30532122  0.09975187
 -0.22041112 -0.10369976  0.4307451  -0.06222308  0.24609914 -0.25295314
 -0.22021587  0.1273026   0.231032    0.2890617   0.22152582  0.24778345
  0.10144945  0.08584959 -0.34710026 -0.14004752  0.07393191  0.01831225
 -0.03177899  0.3522871   0.11506497 -0.05905205  0.16953641 -0.09223843
  0.00220332  0.06414038 -0.45267916 -0.2938838   0.26621893 -0.04033864
 -0.06828375 -0.20493044 -0.0435495  -0.18271214  0.19060305 -0.05026767
  0.17372838 -0.38302487 -0.2941876  -0.13237873  0.07928738  0.14198014
  0.0149165   0.21167862 -0.3045889   0.05471142  0.19278869  0.38898015
  0.14103603 -0.5569445   0.08241164  0.12024552  0.19267488  0.1590493
  0.20053217  0.05855255  0.04717198  0.10786115 -0.05638728  0.06376789
 -0.02980232 -0.3854433  -0.20664877 -0.12575313 -0.07654472  0.4663653
  0.17859593  0.11878459  0.18500414  0.25163174 -0.23873216  0.40149355
 -0.00494791  0.17215058 -0.5871445  -0.3608153  -0.17434633  0.07261148
 -0.06414933  0.30678552 -0.13590191 -0.26821795  0.10719018  0.17878693
  0.1716736   0.06921601 -0.3053729  -0.11358122 -0.20247944  0.40440893
  0.07696832 -0.15597034  0.07731362  0.24784705  0.36440098  0.03407445
 -0.14901689 -0.37542573 -0.508309   -0.3163309  -0.3331306   0.08527831
  0.22745693 -0.02859253]"
6,BA6079,"[ 0.07176563  0.07117792 -0.11655861 -0.12454465 -0.2513526  -0.34156424
 -0.06057551 -0.28819865  0.33861214  0.0935464   0.25537747  0.07843911
 -0.20882389  0.119079    0.1872719   0.37560418  0.02624951  0.25044787
  0.3964073  -0.14273298 -0.21680689 -0.22746131  0.28666776  0.06268257
 -0.28028464 -0.10479076  0.43842804 -0.10456264  0.30955642 -0.27374962
 -0.09627587  0.07340652  0.26061606  0.35233644  0.16640563  0.18402687
  0.09701846  0.03102036 -0.29128122 -0.19684637  0.15188967  0.01458117
  0.0057994   0.335032    0.0792475  -0.11784691  0.17133382 -0.05983014
 -0.00467683  0.00413002 -0.5293108  -0.30823284  0.1497587  -0.11194459
 -0.05372345 -0.12538789 -0.03574613 -0.15873514  0.23751283 -0.00533228
  0.19429393 -0.39645457 -0.28328252 -0.18926772  0.09080033  0.14197725
  0.02892665  0.2220025  -0.27484918  0.04148529  0.18882406  0.37579447
  0.11714432 -0.5554316   0.14900261  0.09012395  0.14218837  0.24957559
  0.21024463 -0.0018586   0.13693598  0.19457239 -0.08126949  0.06980209
 -0.08311648 -0.39581686 -0.16886798 -0.04030094 -0.06897615  0.5120826
  0.12703848  0.19735686  0.2151398   0.2211071  -0.23932102  0.37217227
 -0.00227827  0.16339827 -0.5417207  -0.26563013 -0.25248393  0.1454055
 -0.19283998  0.27115697 -0.10435344 -0.20539525  0.19717133  0.15897891
  0.19975647  0.10170145 -0.33955702 -0.20437154 -0.1431487   0.39993596
  0.03814629 -0.16885325  0.05169261  0.16226831  0.44063875 -0.02393336
 -0.08209789 -0.4270613  -0.475055   -0.3251348  -0.2856338   0.08487918
  0.22563285  0.01522412]"
7,BA5557,"[ 0.0279413   0.03069208 -0.01917996 -0.34653902 -0.20711085 -0.57450724
 -0.2137454  -0.37393662  0.24380124  0.0417266   0.34318304  0.1866942
 -0.15974197 -0.03579373  0.37347436  0.6920744  -0.21462944  0.44327274
  0.26403958 -0.05129087 -0.14080383 -0.18007609  0.4147316   0.17107633
 -0.26949516 -0.09095061  0.5334959   0.0464953   0.16535062 -0.32749325
 -0.29796582  0.23199251  0.12246524  0.19075635  0.2771318   0.4771158
 -0.07083822  0.19083712 -0.42673987 -0.11418557 -0.02691261  0.22243202
 -0.14435153  0.53898984  0.18559739 -0.14507665  0.14412355 -0.12590775
  0.03254276  0.10051964 -0.5546745  -0.16988163  0.2785547  -0.11294883
 -0.15148258 -0.4378711  -0.04279634 -0.31129318  0.34019968 -0.18337491
  0.1453681  -0.59867334 -0.46777263 -0.14434355  0.22611491  0.18977186
  0.11611535  0.24470484 -0.31727725  0.10739379  0.16696025  0.37344208
  0.30167148 -0.5188647   0.07095382 -0.05248067  0.20739922 -0.04294167
  0.19411442  0.13066335 -0.01923601  0.0222697  -0.12609455  0.09133847
  0.04757061 -0.32400966 -0.39965978 -0.09429162 -0.04009388  0.5848342
  0.1534715   0.09187931  0.24906388  0.297257   -0.3138634   0.381437
 -0.01049578  0.07429845 -0.6321899  -0.634995   -0.0909745   0.2089603
  0.00420808  0.3181131   0.04106141 -0.31922424  0.01273064  0.10037597
  0.28249723  0.02235322 -0.311269   -0.17936555 -0.42689568  0.49561465
  0.15431836 -0.2016685  -0.06105086  0.3711554   0.4042329   0.23765633
 -0.4248913  -0.6080977  -0.58249176 -0.26880038 -0.24145359  0.26129645
  0.38645983 -0.09519016]"
8,BA5915,"[ 0.01105342  0.06887502 -0.1663523  -0.11013992 -0.20556441 -0.31647342
 -0.05648027 -0.30759305  0.30276546  0.07797484  0.22297087  0.06926046
 -0.22726792  0.09214953  0.12209574  0.33207908  0.04325384  0.19816974
  0.34108686 -0.09758541 -0.18325493 -0.2409558   0.20761877  0.04558201
 -0.18836832 -0.0892574   0.36010855 -0.09318981  0.25238174 -0.20785615
 -0.09039964  0.08832827  0.20593517  0.34946412  0.13078703  0.14016408
  0.07348154  0.04372239 -0.25543904 -0.18234755  0.1138059   0.01198705
 -0.01181159  0.24705374  0.10010196 -0.09193884  0.13632558 -0.04141168
  0.04578982 -0.01013229 -0.40267128 -0.26484293  0.16816854 -0.09246783
 -0.09091909 -0.13105227 -0.00779383 -0.15227163  0.18036225 -0.01216225
  0.1856391  -0.34373838 -0.26346827 -0.14349875  0.12305754  0.11040027
 -0.02018513  0.21366063 -0.24634106  0.03445411  0.15482691  0.29180172
  0.07888699 -0.51802105  0.0919323   0.08997486  0.16541073  0.20370102
  0.17216653  0.0514726   0.10244282  0.1400438  -0.05479045  0.05213159
 -0.06973873 -0.4099558  -0.18695013 -0.0526973  -0.11335234  0.47176284
  0.12068722  0.13925332  0.166323    0.1977638  -0.2140393   0.3258033
 -0.01490393  0.16494235 -0.51177275 -0.2911672  -0.18353611  0.07942133
 -0.15767607  0.27560127 -0.09168727 -0.2436646   0.13394925  0.0955246
  0.1594368   0.12447054 -0.26552138 -0.13816726 -0.13268992  0.3786169
  0.01900056 -0.11867815  0.04079632  0.18881549  0.35630158 -0.04449341
 -0.08457324 -0.34817955 -0.44596073 -0.3209654  -0.32366806  0.03764323
  0.16496626 -0.03277671]"
9,BA6404,"[-0.0857619   0.02625902  0.16412097 -0.307627   -0.16156882 -0.8165199
 -0.19568585 -0.21746838  0.29282704  0.15918595  0.379878    0.17046842
  0.06645378 -0.36135933  0.476145    0.7583697  -0.5257095   0.571103
  0.13045606  0.12399768  0.31705105 -0.1036585   0.56159216  0.27068278
 -0.15219855 -0.0321018   0.56212044  0.05146456 -0.12132246 -0.1318138
 -0.44533098  0.42029452  0.02558772 -0.05585326  0.18786478  0.6704369
 -0.33795208  0.12303708 -0.2613484  -0.01549063 -0.21312468  0.26025307
 -0.45592117  0.7610243   0.33134037  0.05746359  0.37653223 -0.13933882
  0.26708305  0.14319858 -0.47716987  0.20948124  0.592826   -0.21189427
 -0.10861939 -0.7403526  -0.14307055 -0.39746952  0.09831733 -0.33250916
  0.00276299 -0.6417525  -0.40182567 -0.05507817  0.29176104 -0.09075848
 -0.05193838  0.1508199  -0.44700277  0.03548706 -0.06376387 -0.06491691
  0.6228801  -0.28208542  0.01530104 -0.1033847   0.4976349  -0.5113266
 -0.04310365  0.28757453 -0.16956513 -0.03712357 -0.05574155  0.07878931
  0.33001286 -0.11160735 -0.56029785  0.1258595  -0.12884896  0.40868735
  0.21548998 -0.11306177  0.48480377  0.29002804 -0.28910467  0.5758196
  0.02612945 -0.09139557 -0.33633104 -0.75723195  0.36035994 -0.05151836
  0.34267262  0.31409216  0.17475176 -0.39542574 -0.12389635  0.3980259
  0.05421893  0.03931991 -0.17332053 -0.20142129 -0.6727701   0.34833536
  0.3960769  -0.0818624  -0.26562688  0.49376926  0.05983191  0.354622
 -0.6976804  -0.5318367  -0.40137163 -0.3237855  -0.10631291  0.4526118
  0.48685908 -0.11162375]"
