head_label,tail_label,head_name,tail_name
GA415,BA6208,上身,下身
GA415,BA3392,上身,下身
GA415,BA2574,上身,下身
GA415,BA6154,上身,下身
GA415,BA5426,上身,下身
AB10552,BA5613,上身,下身
AB10552,BA5615,上身,下身
AB10552,BA4829,上身,下身
AB10552,CA2544,上身,下身
AB10552,BA3255,上身,下身
AB11843,BA5143,上身,下身
AB11843,DA9220,上身,下身
AB11843,CA2070,上身,下身
AB11843,BA5445,上身,下身
AB11843,BA6434,上身,下身
AB13432,CA2152,上身,下身
AB13432,BA5420,上身,下身
AB13432,BA4803,上身,下身
AB13432,BA5801,上身,下身
AB13432,BA4021,上身,下身
AB12726,BA6194,上身,下身
AB12726,DA8588,上身,下身
AB12726,CA1911,上身,下身
AB12726,BA2676,上身,下身
AB12726,BA4716,上身,下身
AB16686,CA1547,上身,下身
AB16686,DA8822,上身,下身
AB16686,DA9240,上身,下身
AB16686,BA5681,上身,下身
AB16686,BA5052,上身,下身
AB17314,BA3274,上身,下身
AB17314,CA2146,上身,下身
AB17314,CA2023,上身,下身
AB17314,BA4901,上身,下身
AB17314,BA4971,上身,下身
AB12080,BA5740,上身,下身
AB12080,CA1724,上身,下身
AB12080,BA5613,上身,下身
AB12080,DA9030,上身,下身
AB12080,BA6136,上身,下身
AB12251,BA5154,上身,下身
AB12251,BA5651,上身,下身
AB12251,BA5915,上身,下身
AB12251,BA4688,上身,下身
AB12251,BA4362,上身,下身
AB10266,CA2495,上身,下身
AB10266,DA8704,上身,下身
AB10266,CA2366,上身,下身
AB10266,DA8547,上身,下身
AB10266,BA6046,上身,下身
AB13724,BA5566,上身,下身
AB13724,CA2223,上身,下身
AB13724,CA1926,上身,下身
AB13724,CA764,上身,下身
AB13724,BA6019,上身,下身
AB12814,BA6453,上身,下身
AB12814,BA5652,上身,下身
AB12814,BA5555,上身,下身
AB12814,CA2110,上身,下身
AB12814,BA2125,上身,下身
AB12989,CA1791,上身,下身
AB12989,BA5427,上身,下身
AB12989,BA5721,上身,下身
AB12989,CA1883,上身,下身
AB12989,BA6015,上身,下身
AB12904,CA2111,上身,下身
AB12904,BA6453,上身,下身
AB12904,CA1976,上身,下身
AB12904,BA5915,上身,下身
AB12904,BA6094,上身,下身
AB11690,BA6122,上身,下身
AB11690,CA1494,上身,下身
AB11690,CA1839,上身,下身
AB11690,BA4784,上身,下身
AB11690,BA4886,上身,下身
AB9876,CA2285,上身,下身
AB9876,BA5993,上身,下身
AB9876,BA5293,上身,下身
AB9876,DA5961,上身,下身
AB9876,BA5728,上身,下身
AB14588,CA2190,上身,下身
AB14588,CA2147,上身,下身
AB14588,BA5956,上身,下身
AB14588,BA6664,上身,下身
AB14588,CA2426,上身,下身
AB12280,BA5375,上身,下身
AB12280,BA5369,上身,下身
AB12280,CA2057,上身,下身
AB12280,BA4996,上身,下身
AB12280,BA4275,上身,下身
AB4632,DA8678,上身,下身
AB4632,CA1754,上身,下身
AB4632,BA6789,上身,下身
AB4632,DA8969,上身,下身
AB4632,CA2405,上身,下身
AB11065,BA6130,上身,下身
AB11065,DA8822,上身,下身
AB11065,CA1839,上身,下身
AB11065,DA8942,上身,下身
AB11065,BA5801,上身,下身
AB16376,BA4829,上身,下身
AB16376,CA1784,上身,下身
AB16376,CA2020,上身,下身
AB16376,CA2111,上身,下身
AB16376,DA9192,上身,下身
