head_label,tail_label,head_name,tail_name
AB11634,BA3392,上身,下身
AB11634,DA9039,上身,下身
AB11634,CA2187,上身,下身
AB11634,DA9068,上身,下身
AB11634,BA6188,上身,下身
AB11634,CA2429,上身,下身
AB11634,CA2038,上身,下身
AB11634,CA1793,上身,下身
AB11634,DA8801,上身,下身
AB11634,CA2459,上身,下身
AB11634,CA2290,上身,下身
AB11634,BA2676,上身,下身
AB11634,CA2021,上身,下身
AB11634,CA1584,上身,下身
AB11634,BA5261,上身,下身
AB11634,CA734,上身,下身
AB11634,BA6789,上身,下身
AB11634,BA3878,上身,下身
AB11634,CA1987,上身,下身
AB11634,BA6127,上身,下身
AB13287,CA2458,上身,下身
AB13287,CA2009,上身,下身
AB13287,BA6660,上身,下身
AB13287,CA1863,上身,下身
AB13287,CA1997,上身,下身
AB13287,BA5485,上身,下身
AB13287,BA5256,上身,下身
AB13287,BA5416,上身,下身
AB13287,CA2241,上身,下身
AB13287,BA6025,上身,下身
AB13287,BA3799,上身,下身
AB13287,BA5490,上身,下身
AB13287,CA1816,上身,下身
AB13287,BA6191,上身,下身
AB13287,BA5486,上身,下身
AB13287,BA4978,上身,下身
AB13287,CA1441,上身,下身
AB13287,BA6436,上身,下身
AB13287,BA3258,上身,下身
AB13287,BA4241,上身,下身
AB11966,DA9094,上身,下身
AB11966,BA5251,上身,下身
AB11966,CA2276,上身,下身
AB11966,BA5726,上身,下身
AB11966,BA6503,上身,下身
AB11966,CA2599,上身,下身
AB11966,CA2185,上身,下身
AB11966,BA6716,上身,下身
AB11966,CA1700,上身,下身
AB11966,BA6720,上身,下身
AB11966,CA2016,上身,下身
AB11966,BA6201,上身,下身
AB11966,BA5796,上身,下身
AB11966,BA5406,上身,下身
AB11966,BA6055,上身,下身
AB11966,BA5626,上身,下身
AB11966,BA4942,上身,下身
AB11966,CA2010,上身,下身
AB11966,BA5458,上身,下身
AB11966,DA8683,上身,下身
AB0944,CA2148,上身,下身
AB0944,BA6377,上身,下身
AB0944,BA5955,上身,下身
AB0944,BA4778,上身,下身
AB0944,CA1780,上身,下身
AB0944,CA2183,上身,下身
AB0944,CA2332,上身,下身
AB0944,BA6076,上身,下身
AB0944,CA1957,上身,下身
AB0944,BA4901,上身,下身
AB0944,BA4168,上身,下身
AB0944,BA5953,上身,下身
AB0944,BA6186,上身,下身
AB0944,BA5452,上身,下身
AB0944,BA5626,上身,下身
AB0944,BA6038,上身,下身
AB0944,DA8983,上身,下身
AB0944,CA2559,上身,下身
AB0944,CA2185,上身,下身
AB0944,BA5251,上身,下身
AB14762,BA5251,上身,下身
AB14762,CA2185,上身,下身
AB14762,BA6377,上身,下身
AB14762,BA4901,上身,下身
AB14762,BA4778,上身,下身
AB14762,CA2332,上身,下身
AB14762,BA5626,上身,下身
AB14762,BA5452,上身,下身
AB14762,BA5953,上身,下身
AB14762,BA5955,上身,下身
AB14762,BA4168,上身,下身
AB14762,CA2148,上身,下身
AB14762,BA6720,上身,下身
AB14762,CA2010,上身,下身
AB14762,BA5512,上身,下身
AB14762,CA2058,上身,下身
AB14762,BA6716,上身,下身
AB14762,DA9027,上身,下身
AB14762,DA9159,上身,下身
AB14762,DA8983,上身,下身
AB16602,BA5420,上身,下身
AB16602,BA5026,上身,下身
AB16602,CA1750,上身,下身
AB16602,CA1794,上身,下身
AB16602,CA2025,上身,下身
AB16602,BA6544,上身,下身
AB16602,CA2532,上身,下身
AB16602,BA6700,上身,下身
