head_label,tail_label,head_name,tail_name
AB15352,DA3537,上身,下身
AB15352,CA1845,上身,下身
AB15352,CA2110,上身,下身
AB15352,CA2181,上身,下身
AB15352,BA6690,上身,下身
AB15352,CA1869,上身,下身
AB15352,BA5239,上身,下身
AB15352,BA5942,上身,下身
AB15352,BA5595,上身,下身
AB15352,DA9044,上身,下身
AB15352,CA1351,上身,下身
AB15352,BA5891,上身,下身
AB15352,BA5165,上身,下身
AB15352,BA5884,上身,下身
AB15352,BA6070,上身,下身
AB15352,DA5937,上身,下身
AB15352,CA2011,上身,下身
AB15352,BA5597,上身,下身
AB15352,CA2223,上身,下身
AB15352,BA6050,上身,下身
AB13843,CA1214,上身,下身
AB13843,BA6310,上身,下身
AB13843,BA5947,上身,下身
AB13843,BA4441,上身,下身
AB13843,DA8961,上身,下身
AB13843,CA1732,上身,下身
AB13843,DA9093,上身,下身
AB13843,CA2375,上身,下身
AB13843,DA9370,上身,下身
AB13843,BA5395,上身,下身
AB13843,BA4404,上身,下身
AB13843,CA2045,上身,下身
AB13843,BA2219,上身,下身
AB13843,CA2281,上身,下身
AB13843,BA5857,上身,下身
AB13843,BA6639,上身,下身
AB13843,BA5952,上身,下身
AB13843,CA2248,上身,下身
AB13843,CA1803,上身,下身
AB13843,BA5406,上身,下身
AB6315,BA6121,上身,下身
AB6315,BA5401,上身,下身
AB6315,BA5503,上身,下身
AB6315,BA5015,上身,下身
AB6315,BA5069,上身,下身
AB6315,BA6434,上身,下身
AB6315,BA5225,上身,下身
AB6315,DA8973,上身,下身
AB6315,BA5723,上身,下身
AB6315,CA2438,上身,下身
AB6315,BA6538,上身,下身
AB6315,DA8853,上身,下身
AB6315,BA4279,上身,下身
AB6315,BA5415,上身,下身
AB6315,CA1783,上身,下身
AB6315,BA6626,上身,下身
AB6315,BA5177,上身,下身
AB6315,BA5706,上身,下身
AB6315,BA6078,上身,下身
AB6315,BA6017,上身,下身
AB14213,CA2045,上身,下身
AB14213,DA9093,上身,下身
AB14213,CA1753,上身,下身
