head_label,tail_label,head_name,tail_name
AB9725,BA6069,上身,下身
AB9725,BA5588,上身,下身
AB9725,BA6110,上身,下身
AB9725,DA9093,上身,下身
AB9725,BA2258,上身,下身
AB9725,BA3966,上身,下身
AB9725,BA4426,上身,下身
AB9725,BA6082,上身,下身
AB9725,BA6094,上身,下身
AB9725,CA2011,上身,下身
AB11675,BA5460,上身,下身
AB11675,BA6422,上身,下身
AB11675,BA4552,上身,下身
AB11675,DA8716,上身,下身
AB11675,BA2098,上身,下身
AB11675,BA6121,上身,下身
AB11675,BA6622,上身,下身
AB11675,BA6109,上身,下身
AB11675,BA6679,上身,下身
AB11675,DA8974,上身,下身
AB10730,BA4362,上身,下身
AB10730,BA5427,上身,下身
AB10730,BA6060,上身,下身
AB10730,BA6076,上身,下身
AB10730,BA5310,上身,下身
AB10730,CA2062,上身,下身
AB10730,CA1888,上身,下身
AB10730,BA5016,上身,下身
AB10730,BA6495,上身,下身
AB10730,BA4773,上身,下身
AB16895,CA2105,上身,下身
AB16895,BA6700,上身,下身
AB16895,CA2039,上身,下身
AB16895,BA6625,上身,下身
AB16895,CA662,上身,下身
AB16895,CA1884,上身,下身
AB16895,BA5070,上身,下身
AB16895,BA5474,上身,下身
AB16895,BA6517,上身,下身
AB16895,CA1970,上身,下身
AB13374,BA4172,上身,下身
AB13374,BA5188,上身,下身
AB13374,BA4795,上身,下身
AB13374,CA1700,上身,下身
AB13374,BA6557,上身,下身
AB13374,BA6528,上身,下身
AB13374,BA5682,上身,下身
AB13374,DA8950,上身,下身
AB13374,BA4037,上身,下身
AB13374,CA1411,上身,下身
EA2617,CA1659,上身,下身
EA2617,CA1491,上身,下身
EA2617,CA1873,上身,下身
EA2617,BA6414,上身,下身
EA2617,CA2466,上身,下身
EA2617,BA5954,上身,下身
EA2617,BA4090,上身,下身
EA2617,BA5796,上身,下身
EA2617,BA6684,上身,下身
EA2617,BA3922,上身,下身
AB11331,CA2547,上身,下身
AB11331,DA9113,上身,下身
AB11331,BA5326,上身,下身
AB11331,BA6187,上身,下身
AB11331,CA2231,上身,下身
AB11331,BA6605,上身,下身
AB11331,BA5618,上身,下身
AB11331,BA4829,上身,下身
AB11331,BA6084,上身,下身
AB11331,CA1697,上身,下身
AB12172,BA4888,上身,下身
AB12172,BA5808,上身,下身
AB12172,BA5814,上身,下身
AB12172,CA2058,上身,下身
AB12172,CA764,上身,下身
