head_label,tail_label,head_name,tail_name
AB16154,BA6396,上身,下身
AB16154,BA5839,上身,下身
AB16154,BA6303,上身,下身
AB16154,BA5666,上身,下身
AB16154,BA5564,上身,下身
AB16154,CA2026,上身,下身
AB16154,BA4670,上身,下身
AB16154,BA5469,上身,下身
AB16154,CA2578,上身,下身
AB16154,BA6425,上身,下身
AB13751,CA2022,上身,下身
AB13751,BA5533,上身,下身
AB13751,CA1945,上身,下身
AB13751,BA6614,上身,下身
AB13751,BA6133,上身,下身
AB13751,CA2417,上身,下身
AB13751,BA6724,上身,下身
AB13751,BA3860,上身,下身
AB13751,DA9193,上身,下身
AB13751,BA6191,上身,下身
AB13810,DA9094,上身,下身
AB13810,CA1450,上身,下身
AB13810,BA5871,上身,下身
AB13810,CA2049,上身,下身
AB13810,BA4932,上身,下身
AB13810,CA2092,上身,下身
AB13810,BA6142,上身,下身
AB13810,CA2147,上身,下身
AB13810,BA5914,上身,下身
AB13810,CA1446,上身,下身
AB11300,BA6438,上身,下身
AB11300,DA9194,上身,下身
AB11300,CA2591,上身,下身
AB11300,CA1441,上身,下身
AB11300,CA2036,上身,下身
AB11300,BA4464,上身,下身
AB11300,BA5970,上身,下身
AB11300,CA1686,上身,下身
AB11300,CA1963,上身,下身
AB11300,CA2503,上身,下身
EA2696,BA4952,上身,下身
EA2696,BA6639,上身,下身
EA2696,BA5297,上身,下身
EA2696,CA2076,上身,下身
EA2696,BA3740,上身,下身
EA2696,BA5946,上身,下身
EA2696,BA5804,上身,下身
EA2696,CA2162,上身,下身
EA2696,BA4177,上身,下身
EA2696,BA5624,上身,下身
AB10841,BA5781,上身,下身
AB10841,BA6667,上身,下身
AB10841,BA0321,上身,下身
AB10841,BA5801,上身,下身
AB10841,CA1999,上身,下身
AB10841,CA2467,上身,下身
AB10841,BA6727,上身,下身
AB10841,BA4674,上身,下身
AB10841,BA6721,上身,下身
AB10841,BA6163,上身,下身
AB13327,BA4674,上身,下身
AB13327,BA5052,上身,下身
AB13327,BA5825,上身,下身
AB13327,BA5652,上身,下身
AB13327,BA6538,上身,下身
AB13327,BA4841,上身,下身
AB13327,BA6128,上身,下身
AB13327,CA2467,上身,下身
AB13327,BA6238,上身,下身
AB13327,BA5818,上身,下身
AB12806,BA5733,上身,下身
AB12806,DA8676,上身,下身
AB12806,BA5795,上身,下身
AB12806,BA5421,上身,下身
AB12806,BA5979,上身,下身
AB12806,BA5036,上身,下身
