head_label,tail_label,head_name,tail_name
AB15142,BA2521,上身,下身
AB15142,DA9098,上身,下身
AB15142,CA2039,上身,下身
AB15142,CA2059,上身,下身
AB15142,BA5360,上身,下身
AB15142,CA2527,上身,下身
AB15142,CA1961,上身,下身
AB15142,BA6453,上身,下身
AB15142,BA6155,上身,下身
AB15142,BA6676,上身,下身
AB13466,BA5905,上身,下身
AB13466,DA8853,上身,下身
AB13466,BA5992,上身,下身
AB13466,CA2041,上身,下身
AB13466,BA5488,上身,下身
AB13466,BA5546,上身,下身
AB13466,BA6094,上身,下身
AB13466,BA6201,上身,下身
AB13466,BA5533,上身,下身
AB13466,CA1930,上身,下身
AB12134,BA6079,上身,下身
AB12134,BA6115,上身,下身
AB12134,BA5422,上身,下身
AB12134,BA4849,上身,下身
AB12134,CA2034,上身,下身
AB12134,DA9160,上身,下身
AB12134,CA1948,上身,下身
AB12134,BA4479,上身,下身
AB12134,BA5276,上身,下身
AB12134,DA8995,上身,下身
EA3004,BA4724,上身,下身
EA3004,CA1809,上身,下身
EA3004,BA5422,上身,下身
EA3004,CA2195,上身,下身
EA3004,CA2034,上身,下身
EA3004,CA1694,上身,下身
EA3004,BA5276,上身,下身
EA3004,DA8605,上身,下身
EA3004,CA2223,上身,下身
EA3004,BA5420,上身,下身
EA2071,CA2062,上身,下身
EA2071,BA5232,上身,下身
EA2071,BA6376,上身,下身
EA2071,BA5892,上身,下身
EA2071,BA0321,上身,下身
EA2071,BA5686,上身,下身
EA2071,BA6069,上身,下身
EA2071,BA5935,上身,下身
EA2071,BA3864,上身,下身
EA2071,BA6137,上身,下身
AB12199,BA5442,上身,下身
AB12199,BA5209,上身,下身
AB12199,CA2032,上身,下身
AB12199,DA8897,上身,下身
AB12199,CA1963,上身,下身
AB12199,BA6042,上身,下身
AB12199,BA5388,上身,下身
AB12199,BA6395,上身,下身
AB12199,BA6025,上身,下身
AB12199,CA2542,上身,下身
AB15616,BA3896,上身,下身
AB15616,CA2285,上身,下身
AB15616,CA2393,上身,下身
AB15616,BA5666,上身,下身
AB15616,DA8950,上身,下身
AB15616,BA5743,上身,下身
AB15616,DA8948,上身,下身
AB15616,BA5870,上身,下身
AB15616,DA9207,上身,下身
AB15616,BA5555,上身,下身
AB13247,DA9292,上身,下身
AB13247,BA5602,上身,下身
AB13247,BA5959,上身,下身
AB13247,CA1882,上身,下身
AB13247,DA9017,上身,下身
AB13247,BA6693,上身,下身
AB13247,BA5728,上身,下身
AB13247,BA5486,上身,下身
AB13247,BA4275,上身,下身
AB13247,BA5154,上身,下身
AB12959,CA2273,上身,下身
AB12959,BA6453,上身,下身
AB12959,CA1961,上身,下身
AB12959,BA5360,上身,下身
AB12959,CA2039,上身,下身
AB12959,CA2059,上身,下身
AB12959,BA6137,上身,下身
AB12959,CA2062,上身,下身
AB12959,BA2521,上身,下身
AB12959,CA1845,上身,下身
AB16473,BA5500,上身,下身
AB16473,CA1806,上身,下身
AB16473,BA5904,上身,下身
AB16473,CA2427,上身,下身
AB16473,CA2410,上身,下身
AB16473,BA5936,上身,下身
AB16473,BA4888,上身,下身
AB16473,BA6727,上身,下身
AB16473,CA2339,上身,下身
AB16473,DA9154,上身,下身
AB12345,BA6022,上身,下身
AB12345,BA4901,上身,下身
AB12345,CA662,上身,下身
AB12345,BA6672,上身,下身
AB12345,CA1747,上身,下身
AB12345,CA1731,上身,下身
AB12345,CA2058,上身,下身
AB12345,CA2003,上身,下身
AB12345,BA6010,上身,下身
AB12345,CA1953,上身,下身
AB10285,DA9301,上身,下身
AB10285,CA1333,上身,下身
AB10285,CA2376,上身,下身
AB10285,BA5156,上身,下身
AB10285,CA1878,上身,下身
AB10285,CA2276,上身,下身
AB10285,BA6690,上身,下身
