,款號,款號品類,款號_style1,款號_style2,圖片,搭配款,搭配款品類,搭配款_style1,搭配款_style2,搭配款主圖,平拍圖
0,AB10078,上衣,,,https://image.obdesign.com.tw/catalog/products/AB10078/AB10078@1.jpg,BA4933,褲子,,,https://image.obdesign.com.tw/catalog/products/BA4933/BA4933@1.jpg,
1,AB10078,上衣,,,https://image.obdesign.com.tw/catalog/products/AB10078/AB10078@1.jpg,BA4789,褲子,,,https://image.obdesign.com.tw/catalog/products/BA4789/BA4789@1.jpg,
2,AB10113,上衣,,,https://image.obdesign.com.tw/catalog/products/AB10113/AB10113@1.jpg,BA5022,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5022/BA5022@1.jpg,
3,AB10113,上衣,,,https://image.obdesign.com.tw/catalog/products/AB10113/AB10113@1.jpg,BA5070,褲子,,,https://image.obdesign.com.tw/catalog/products/BA5070/BA5070@1.jpg,
4,AB10113,上衣,,,https://image.obdesign.com.tw/catalog/products/AB10113/AB10113@1.jpg,BA5025,褲子,甜美_浪漫,,https://image.obdesign.com.tw/catalog/products/BA5025/BA5025@1.jpg,
5,AB10798,上衣,,,https://image.obdesign.com.tw/catalog/products/AB10798/AB10798@1.jpg,BA5213,褲子,休閒_個性,甜美_浪漫,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@CB-T4-6E02F9D5A8C4302AFE37.png
6,AB10824,上衣,,,https://image.obdesign.com.tw/catalog/products/AB10824/AB10824@1.jpg,BA4930,褲子,休閒_個性,甜美_浪漫,https://image.obdesign.com.tw/catalog/products/BA4930/BA4930@1.jpg,
7,AB10824,上衣,,,https://image.obdesign.com.tw/catalog/products/AB10824/AB10824@1.jpg,BA4037,褲子,休閒_個性,甜美_浪漫,https://image.obdesign.com.tw/catalog/products/BA4037/BA4037@1.jpg,
8,AB10824,上衣,,,https://image.obdesign.com.tw/catalog/products/AB10824/AB10824@1.jpg,BA4886,褲子,甜美_浪漫,,https://image.obdesign.com.tw/catalog/products/BA4886/BA4886@1.jpg,https://image.obdesign.com.tw/catalog/products/BA4886/BA4886@CB-T4-96C29A622524188BDA6A.png
9,AB10898,上衣,,,https://image.obdesign.com.tw/catalog/products/AB10898/AB10898@1.jpg,BA5213,褲子,休閒_個性,甜美_浪漫,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@1.jpg,https://image.obdesign.com.tw/catalog/products/BA5213/BA5213@CB-T4-6E02F9D5A8C4302AFE37.png
